year,indicator,High income,Lower middle income,Upper middle income,Low income,Africa,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Equatorial Guinea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,South Africa,South Sudan,Togo,Uganda,Tanzania,Zambia,Antigua and Barbuda,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Dominica,Dominican Republic,Ecuador,El Salvador,Grenada,Guatemala,Guyana,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Suriname,Trinidad and Tobago,United States,Uruguay,Afghanistan,Bahrain,Djibouti,Egypt,Iran,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Pakistan,Qatar,Saudi Arabia,Sudan,Tunisia,United Arab Emirates,Yemen,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyz Republic,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Moldova,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Türkiye,Turkmenistan,Ukraine,United Kingdom,Uzbekistan,Bangladesh,Bhutan,India,Indonesia,Maldives,Myanmar,Nepal,Sri Lanka,Thailand,Timor-Leste,Australia,Brunei Darussalam,Cambodia,China,Fiji,Japan,Kiribati,Laos,Malaysia,Marshall Islands,"Micronesia, Fed. Sts.",Mongolia,Nauru,New Zealand,Palau,Papua New Guinea,Philippines,South Korea,Samoa,Singapore,Solomon Islands,Tonga,Tuvalu,Vanuatu,Vietnam,Africa (Low and Lower middle income)
2010-01-01,Total spending ($US billion),5773.811,208.298,815.812,15.762,97.996,6.97,1.777,0.307,0.805,0.574,0.309,0.075,1.056,0.106,0.394,0.048,0.257,1.697,1.205,0.273,0.306,2.126,0.363,0.064,1.809,0.294,0.06,3.651,0.172,0.524,0.425,0.625,0.166,0.424,0.521,0.994,0.421,10.999,0.449,0.026,0.665,0.043,0.251,28.822,,0.209,1.756,1.808,0.583,0.073,44.636,0.626,0.384,0.089,1.447,122.605,176.862,15.754,15.91,3.674,0.031,2.783,5.005,2.007,0.051,3.609,0.135,0.84,1.757,0.765,62.205,0.751,2.964,1.55,7.373,0.041,0.098,0.033,0.159,1.404,2997.202,3.965,1.0,1.222,0.063,11.783,15.702,4.475,2.979,3.238,2.207,1.757,5.637,1.657,5.706,2.441,22.545,2.011,2.335,11.385,1.854,0.856,0.258,0.863,44.1,1.263,3.431,53.03,1.664,4.779,1.563,17.516,35.233,1.649,24.772,299.186,1.027,411.034,24.665,10.179,1.63,25.007,22.159,193.195,3.704,0.438,1.782,3.058,4.36,0.813,,89.986,0.753,37.715,30.118,24.745,0.943,11.268,76.302,0.119,4.663,7.098,4.283,126.2,42.284,66.702,0.242,22.295,1.602,13.71,269.959,1.916,4.794,0.056,58.393,20.44,0.28,0.89,1.014,2.159,13.562,0.199,111.339,0.314,1.04,358.264,0.139,429.025,0.015,0.288,7.736,0.029,0.048,0.297,0.011,17.633,0.028,0.379,9.82,78.687,0.041,9.328,0.052,0.019,0.006,0.027,10.017,64.514
2011-01-01,Total spending ($US billion),5913.817,218.349,870.498,15.538,102.028,7.466,1.805,0.315,0.806,0.543,0.287,0.075,1.177,0.114,0.385,0.053,0.249,1.608,1.112,0.256,0.308,1.936,0.401,0.062,2.29,0.344,0.076,3.705,0.214,0.512,0.461,0.553,0.162,0.415,0.519,1.056,0.424,11.622,0.476,0.026,0.705,0.045,0.315,30.311,,0.223,1.859,1.889,0.613,0.072,47.18,0.638,0.389,0.09,1.513,124.959,177.343,16.685,16.317,3.88,0.032,2.937,5.648,2.077,0.055,3.66,0.14,1.147,1.838,0.768,62.135,0.772,3.121,1.722,7.542,0.042,0.102,0.032,0.158,1.302,3033.343,4.189,1.064,1.178,0.068,12.58,15.621,4.164,3.053,3.092,2.447,1.069,5.879,1.54,5.408,2.324,25.259,2.161,2.497,11.519,1.496,0.87,0.256,0.917,44.523,1.24,3.115,54.78,1.709,4.884,1.553,17.757,35.028,1.63,25.628,304.639,0.97,414.903,21.231,10.415,1.629,25.507,23.225,191.465,3.787,0.474,1.715,3.088,3.936,0.868,0.39,92.088,0.748,37.601,30.75,23.594,0.896,9.345,76.449,0.141,4.552,6.937,4.304,125.846,54.633,68.68,0.265,22.977,1.812,14.465,272.616,2.046,5.273,0.057,59.798,23.245,0.283,0.931,1.07,2.246,14.395,0.224,114.05,0.266,1.191,402.876,0.131,496.592,0.014,0.207,8.531,0.027,0.05,0.334,0.01,17.821,0.027,0.417,9.938,82.916,0.044,9.77,0.06,0.016,0.006,0.029,10.456,67.669
2012-01-01,Total spending ($US billion),6027.913,230.423,943.331,15.797,105.308,8.753,1.774,0.339,0.87,0.572,0.257,0.09,1.255,0.128,0.416,0.053,0.298,1.795,1.219,0.294,0.3,2.138,0.4,0.064,2.121,0.337,0.072,3.737,0.249,0.457,0.531,0.513,0.181,0.427,0.586,1.046,0.414,12.262,0.528,0.027,0.742,0.056,0.301,31.272,,0.251,1.736,1.971,0.674,0.075,48.724,0.66,0.436,0.09,1.616,126.512,182.721,18.286,16.868,3.901,0.034,3.023,6.222,2.071,0.054,3.839,0.131,1.085,1.885,0.712,65.805,0.826,3.262,1.918,8.36,0.04,0.098,0.034,0.158,1.336,3098.902,4.402,1.119,1.298,0.07,13.16,15.096,4.559,3.0,3.297,2.15,,6.086,1.707,5.557,2.66,28.835,1.817,2.673,10.97,1.669,0.879,0.214,0.957,45.6,1.541,3.405,55.924,1.754,5.223,1.524,17.773,35.496,1.688,26.264,308.665,1.038,419.572,19.149,10.187,1.642,25.53,24.29,185.956,4.641,0.567,1.736,3.102,3.559,0.896,0.396,93.857,0.756,38.566,31.118,22.458,0.895,9.597,81.872,0.146,4.627,7.257,4.28,121.935,55.974,70.171,0.291,22.998,2.015,15.138,277.178,2.31,5.593,0.066,64.673,24.028,0.317,1.238,1.13,2.252,15.242,0.239,119.312,0.267,1.222,456.816,0.138,512.244,0.015,0.239,9.388,0.027,0.046,0.404,0.011,18.479,0.029,0.507,11.024,86.602,0.039,10.752,0.059,0.02,0.006,0.032,11.091,70.944
2013-01-01,Total spending ($US billion),6110.232,248.475,1017.316,17.477,111.529,8.962,2.124,0.339,0.99,0.731,0.27,0.094,1.217,0.099,0.463,0.055,0.301,1.647,1.386,0.305,0.297,2.109,0.495,0.061,2.606,0.346,0.088,3.812,0.278,0.448,0.763,0.555,0.204,0.483,0.734,1.08,0.452,13.157,0.462,0.036,0.781,0.047,0.472,32.445,,0.274,1.708,1.949,0.801,0.075,49.66,0.685,0.409,0.096,1.831,134.361,185.228,20.118,18.447,3.945,0.031,3.087,6.574,2.227,0.054,3.783,0.139,0.835,1.897,0.724,68.274,0.884,3.497,1.928,8.874,0.043,0.099,0.033,0.17,1.437,3132.428,4.636,1.318,1.436,0.065,14.242,13.47,5.116,2.822,3.556,2.252,,6.196,1.976,6.277,3.334,32.793,2.268,2.835,12.099,1.67,0.906,0.21,1.119,45.999,1.667,3.734,56.579,1.788,4.921,1.509,17.524,35.171,1.764,26.623,313.156,1.075,427.039,17.65,10.124,1.715,25.016,25.321,182.365,4.309,0.605,1.769,3.136,3.631,0.958,0.419,94.136,0.79,39.639,32.462,21.678,0.927,11.149,85.75,0.133,4.753,7.264,4.247,119.041,57.534,73.091,0.341,24.538,2.351,14.767,280.088,2.555,5.783,0.07,77.484,24.972,0.319,1.705,1.206,2.618,15.341,0.301,123.63,0.268,1.258,508.387,0.142,522.644,0.017,0.298,9.984,0.028,0.043,0.478,0.013,18.584,0.03,0.592,12.042,91.092,0.049,12.482,0.059,0.017,0.006,0.035,10.328,75.684
2014-01-01,Total spending ($US billion),6313.264,260.635,1077.003,18.392,114.548,9.915,1.983,0.338,0.947,0.686,0.235,0.095,1.342,0.095,0.517,0.057,0.326,1.798,1.658,0.327,0.292,2.302,0.461,0.047,2.344,0.496,0.125,3.988,0.258,0.551,0.677,0.671,0.257,0.584,0.816,1.063,0.481,13.692,0.506,0.034,0.831,0.053,0.838,31.962,,0.297,1.666,1.797,0.702,0.083,47.87,0.691,0.385,0.11,2.042,142.145,187.729,21.481,19.74,4.075,0.032,3.225,6.839,2.151,0.049,4.031,0.147,0.935,1.825,0.759,67.174,0.968,3.895,2.219,9.497,0.043,0.091,0.033,0.172,1.511,3249.74,4.759,1.465,1.535,0.071,14.982,16.194,5.116,2.935,4.189,2.457,,6.556,2.507,6.695,4.099,39.7,1.934,2.894,12.718,1.627,0.944,0.214,1.143,46.674,1.905,3.592,57.649,1.816,5.344,1.483,18.138,35.67,1.841,26.461,320.126,1.122,437.574,16.585,10.279,1.755,25.127,26.646,184.277,5.021,0.566,1.822,3.282,3.723,1.103,0.403,95.327,0.766,42.313,33.43,21.705,0.968,11.172,88.1,0.133,4.644,6.851,4.246,120.984,59.297,75.139,0.372,25.48,2.612,14.296,288.643,2.116,6.089,0.07,80.344,27.09,0.334,2.461,1.402,2.614,16.53,0.28,140.693,0.263,1.263,553.255,0.158,526.88,0.018,0.307,11.179,0.027,0.041,0.531,0.013,19.115,0.032,0.733,11.095,97.886,0.05,13.628,0.064,0.021,0.007,0.03,11.685,79.151
2015-01-01,Total spending ($US billion),6558.142,278.775,1157.468,18.737,121.114,10.762,2.143,0.348,0.935,0.731,0.197,0.087,1.346,0.109,0.545,0.051,0.392,1.689,1.775,0.397,0.29,2.409,0.502,0.05,2.708,0.625,0.109,4.06,0.248,0.637,0.669,0.653,0.287,0.624,0.929,1.316,0.603,15.035,0.524,0.028,0.881,0.055,0.665,33.132,,0.31,1.685,1.734,0.836,0.077,52.015,0.65,0.386,0.108,2.379,145.479,197.812,23.37,21.279,4.184,0.031,3.395,7.861,2.244,0.051,4.28,0.151,1.077,1.792,0.834,71.231,1.012,4.131,2.307,9.792,0.047,0.089,0.034,0.213,1.74,3400.159,4.906,1.569,1.774,0.086,16.577,18.93,5.938,3.113,6.09,2.433,,6.447,3.422,6.967,6.443,47.153,2.077,2.815,13.32,1.029,0.969,0.222,1.173,47.144,2.33,3.888,59.87,1.844,5.318,1.503,18.504,36.63,1.958,26.236,321.131,1.09,450.709,17.242,10.369,1.798,24.117,27.214,185.481,5.183,0.571,1.958,3.509,3.698,1.183,0.469,94.957,0.803,46.753,34.772,22.032,0.956,11.33,88.261,0.138,4.506,7.078,4.338,126.14,61.145,78.94,0.408,25.728,3.145,13.952,293.764,2.425,6.468,0.079,86.195,28.027,0.383,3.298,1.57,2.893,17.825,0.29,149.876,0.327,1.233,611.96,0.163,536.131,0.016,0.352,12.092,0.033,0.046,0.547,0.022,19.691,0.033,0.434,12.422,103.542,0.051,15.154,0.059,0.019,0.007,0.036,12.556,84.153
2016-01-01,Total spending ($US billion),6754.247,294.302,1210.395,,123.247,10.58,2.174,0.369,0.947,0.899,0.22,0.09,1.405,0.123,0.539,0.053,0.393,1.867,1.997,0.442,0.283,2.45,0.599,0.052,2.089,0.643,0.117,4.222,0.251,0.706,0.798,0.635,0.245,0.648,1.059,1.229,0.54,15.064,0.581,0.035,0.911,0.067,0.568,33.462,,0.442,1.692,2.013,0.875,0.079,49.072,0.704,0.396,0.111,2.587,144.816,205.321,24.367,21.745,4.202,0.031,3.509,7.626,2.288,0.05,4.441,0.157,1.039,1.918,0.858,70.626,1.07,4.434,2.4,10.176,0.052,0.091,0.035,0.209,1.848,3523.978,5.22,1.875,1.794,0.075,17.341,21.854,9.948,2.969,7.036,2.64,,6.465,3.681,7.47,6.483,51.151,2.128,2.862,15.804,,1.043,0.23,1.156,48.012,2.301,3.693,60.607,1.883,5.528,1.569,19.17,37.481,2.038,26.226,325.284,1.213,462.876,17.635,10.804,1.918,25.082,28.736,185.09,5.886,0.535,2.175,3.678,3.874,1.233,0.461,94.527,0.83,49.461,36.85,22.665,0.879,11.978,88.326,0.142,4.47,7.567,4.458,127.481,62.689,82.173,0.44,27.667,3.486,13.864,297.765,2.557,7.285,0.081,90.941,30.416,0.482,3.276,1.564,2.986,18.852,0.27,156.331,0.341,1.326,659.345,0.165,535.61,0.022,0.362,12.23,0.034,0.049,0.6,0.018,20.44,0.034,0.587,13.503,111.143,0.05,16.475,0.061,0.022,0.01,0.026,13.847,85.852
2017-01-01,Total spending ($US billion),6896.803,291.749,1284.307,20.137,126.994,10.605,2.235,0.372,1.133,0.972,0.218,0.101,1.376,0.158,0.514,0.062,0.338,1.96,1.971,0.401,0.296,2.59,0.539,0.057,2.486,0.515,0.103,3.675,0.279,0.661,0.815,0.651,0.279,0.682,1.179,1.139,0.698,15.601,0.555,0.035,0.957,0.068,0.351,33.42,0.975,0.456,1.443,2.213,0.969,0.078,52.381,0.853,0.383,0.105,2.561,151.568,209.143,26.236,22.472,4.214,0.031,3.606,8.014,2.262,0.055,4.627,0.175,0.846,1.828,0.931,70.97,1.158,4.729,2.49,10.273,0.05,0.093,0.037,0.189,1.777,3599.405,5.359,2.055,1.737,0.071,19.037,22.014,8.461,3.101,6.594,2.624,,6.654,3.496,8.471,5.779,49.879,2.232,2.897,16.381,,1.058,0.236,1.294,49.247,2.123,3.69,61.617,1.876,5.707,1.651,19.986,37.961,2.122,26.338,329.376,1.132,479.271,17.166,10.872,2.039,26.047,30.282,187.15,5.455,0.54,2.186,3.724,3.975,1.331,0.447,97.777,0.847,49.232,38.693,23.239,0.866,13.237,91.116,0.139,4.435,7.422,4.518,131.242,63.9,83.712,0.464,29.014,3.823,13.984,300.675,2.739,7.693,0.08,81.369,30.718,0.464,3.442,1.484,2.927,19.21,0.256,158.525,0.307,1.328,717.382,0.168,544.45,0.024,0.414,12.989,0.032,0.046,0.601,0.017,20.454,0.035,0.582,14.459,117.607,0.047,17.13,0.06,0.023,0.013,0.026,15.173,89.612
2018-01-01,Total spending ($US billion),7044.28,297.87,1358.671,19.458,124.227,10.726,2.044,0.43,1.076,0.855,0.232,0.103,1.525,0.271,0.51,0.06,0.245,1.957,1.674,0.39,0.287,2.669,0.538,0.061,2.694,0.523,0.111,3.993,0.29,0.6,0.771,0.693,0.28,0.712,1.249,1.097,0.71,13.114,0.632,0.029,1.082,0.072,0.32,34.32,0.601,0.453,1.532,2.512,1.006,0.083,51.307,0.783,0.368,0.11,2.716,154.166,214.862,27.689,22.889,4.472,0.037,3.542,8.429,2.29,0.057,4.762,0.207,0.972,1.958,0.92,71.367,1.142,5.202,2.623,11.291,0.048,0.091,0.038,0.249,1.754,3679.019,5.48,2.341,1.623,0.071,17.809,21.346,9.054,3.104,7.532,2.662,,6.798,2.879,9.123,5.394,45.58,1.645,2.854,16.969,,1.115,0.25,1.315,50.27,2.029,3.652,63.087,1.936,5.733,1.799,20.88,38.715,2.234,26.4,331.184,1.206,490.144,17.421,11.176,2.169,25.755,31.784,188.973,5.242,0.453,2.358,3.924,4.137,1.394,0.491,99.211,0.874,48.333,39.308,24.174,0.849,14.925,93.608,0.142,4.81,7.617,4.773,135.017,66.088,83.97,0.511,29.468,3.646,14.624,309.54,3.03,8.079,0.082,84.335,31.9,0.405,3.532,1.532,3.274,20.107,0.24,162.715,0.327,1.521,781.224,0.225,552.251,0.028,0.391,13.782,0.037,0.044,0.677,0.016,21.279,0.037,0.598,15.35,128.648,0.043,16.555,0.056,0.023,0.01,0.032,16.426,86.021
2019-01-01,Total spending ($US billion),7241.855,307.029,1453.285,20.864,127.427,9.821,1.94,0.399,1.123,0.968,0.293,0.105,1.591,0.197,0.56,0.065,0.332,2.154,1.893,0.41,0.318,2.848,0.564,0.061,3.24,0.604,0.114,4.474,0.308,0.46,0.845,0.745,0.307,0.783,1.261,1.103,0.805,12.947,0.655,0.028,1.148,0.072,0.371,35.096,0.545,0.456,1.555,2.498,1.445,0.078,49.616,0.758,0.351,0.116,2.895,158.516,221.039,28.31,24.096,4.54,0.032,3.824,8.416,2.482,0.061,5.009,0.218,0.866,2.031,0.95,71.985,1.109,5.75,2.773,11.587,0.053,0.091,0.038,0.325,1.866,3775.895,5.743,2.539,1.59,0.069,18.206,16.774,9.891,3.199,7.745,2.67,,7.06,3.37,9.471,5.873,47.175,1.642,2.942,18.361,,1.172,0.253,1.61,51.683,2.266,3.929,64.105,2.029,5.769,1.965,21.895,39.506,2.352,27.095,333.702,1.199,505.409,17.919,11.189,2.26,28.107,32.839,189.327,5.419,0.402,2.544,4.394,4.407,1.593,0.51,102.367,0.994,51.22,42.015,25.09,0.852,16.051,100.567,0.142,5.097,8.105,5.069,139.974,66.731,87.215,0.543,31.429,3.544,14.232,321.829,3.429,8.495,0.094,90.496,33.63,0.447,3.625,1.604,3.497,20.115,0.232,162.623,0.309,1.847,856.93,0.234,561.815,0.028,0.475,14.699,0.04,0.046,0.708,0.019,23.061,0.039,0.632,17.166,143.537,0.053,18.109,0.065,0.023,0.014,0.033,17.449,88.276
2020-01-01,Total spending ($US billion),7729.798,319.721,1558.062,21.644,128.923,9.723,2.382,0.408,1.025,1.209,0.348,0.118,1.652,0.23,0.66,0.073,0.532,2.465,2.182,0.49,0.289,3.252,0.681,0.072,3.043,0.603,0.146,4.572,0.25,0.512,0.836,0.667,0.312,0.719,1.189,1.07,0.908,14.398,0.746,0.038,1.334,0.088,0.372,34.32,0.526,0.487,1.747,1.982,1.312,0.084,46.002,0.749,0.364,0.111,3.077,162.378,247.323,27.598,25.033,4.709,0.031,4.156,8.47,2.323,0.06,5.146,0.351,0.69,2.287,0.929,75.175,1.101,5.945,2.948,12.514,0.049,0.112,0.042,0.214,1.889,4131.274,5.249,2.597,1.806,0.07,17.029,14.922,11.712,3.183,8.72,1.724,,7.665,4.379,9.728,6.754,55.293,1.042,3.147,23.174,,1.239,0.27,1.608,52.407,3.035,4.265,62.872,2.139,6.626,2.237,25.072,40.149,2.61,27.788,336.464,1.421,526.985,18.881,12.392,2.351,31.52,34.646,191.604,7.106,0.434,2.695,4.701,4.607,1.71,0.593,108.761,1.036,55.343,41.4,25.507,0.842,16.846,130.819,0.138,5.071,8.069,5.389,145.965,68.3,90.287,0.668,33.9,3.529,14.607,352.444,4.351,8.839,0.111,96.359,39.137,0.444,3.668,1.834,3.474,21.722,0.354,176.58,0.341,1.861,915.983,0.218,539.508,0.036,0.374,14.775,0.033,0.045,0.702,0.021,24.092,0.039,0.606,19.244,145.569,0.056,22.538,0.07,0.026,0.011,0.037,15.519,90.53
2021-01-01,Total spending ($US billion),7817.753,351.085,1626.87,22.657,136.707,9.019,2.214,0.457,1.184,1.259,0.305,0.146,1.736,0.234,0.612,0.081,0.47,2.251,2.14,0.418,0.334,3.185,0.548,0.065,3.286,0.607,0.142,5.026,0.26,0.51,0.924,0.879,0.408,0.734,1.428,1.155,0.868,17.994,0.81,0.042,1.203,0.077,0.355,34.657,0.348,0.468,1.992,2.363,1.467,0.086,47.253,0.8,0.394,0.124,3.321,163.16,246.866,29.587,28.723,4.89,0.035,4.646,8.798,2.792,0.063,6.003,0.379,0.731,2.61,1.054,77.372,1.357,6.158,3.209,13.899,0.053,0.105,0.047,0.17,1.717,4048.097,5.552,3.073,1.678,0.097,19.512,16.693,10.837,3.339,7.908,0.994,,8.198,3.854,10.138,5.199,51.84,0.985,3.255,22.025,,1.331,0.277,1.71,58.144,2.569,4.478,65.677,2.262,7.197,2.681,26.739,43.112,2.788,30.401,364.294,1.567,551.352,19.724,13.444,2.487,33.887,38.617,198.55,7.736,0.476,3.596,5.199,4.85,1.881,0.619,114.351,1.179,49.402,43.874,28.305,1.061,18.505,135.758,0.14,6.285,9.203,5.856,153.403,71.625,94.484,0.716,37.322,3.585,16.023,386.178,5.358,9.844,0.094,103.392,43.976,0.54,3.669,1.966,3.618,26.089,0.414,183.027,0.309,2.004,956.091,0.231,541.733,0.034,0.509,16.351,0.032,0.044,1.056,0.019,25.174,0.037,0.611,23.138,168.99,0.057,23.585,0.074,0.029,0.012,0.041,16.984,97.935
2000-01-01,Per capita spending ($US),3678.962,46.435,203.878,,70.772,106.938,32.978,29.499,336.556,15.273,12.741,98.862,55.962,26.738,25.033,98.764,48.169,125.595,5.782,65.837,112.35,11.175,290.13,51.2,34.766,36.038,27.804,52.923,41.962,21.276,10.769,36.912,54.222,149.307,5.304,349.825,21.094,37.085,11.141,170.061,43.294,446.022,21.71,412.291,,21.086,25.556,18.169,30.202,735.886,750.053,1299.756,1069.329,183.919,97.586,509.417,3700.407,690.733,205.432,490.133,365.43,205.998,144.118,253.517,392.134,193.68,105.921,76.095,126.532,293.08,435.288,74.882,539.947,232.423,150.687,642.3,480.86,213.697,254.269,504.518,6871.189,1040.141,,831.462,60.873,120.969,114.185,,362.306,879.829,436.29,240.397,83.175,553.981,23.852,1127.868,867.277,33.285,133.959,1467.766,59.247,149.007,2318.619,56.664,4256.664,45.306,153.111,3418.086,241.444,309.899,965.769,939.242,4668.053,663.152,3116.155,3845.021,104.114,4124.116,1416.991,735.228,4769.07,2813.281,2547.054,2789.983,166.912,37.943,459.27,505.267,6653.828,1324.62,,3752.392,364.068,6250.616,443.486,1915.246,78.718,253.628,327.187,,241.163,557.856,1503.925,1873.558,3375.837,7111.761,13.302,214.664,119.502,143.658,2837.591,38.512,17.016,54.605,35.347,37.481,550.853,7.224,20.041,76.753,125.563,,3854.77,917.709,43.907,110.837,146.503,2481.605,141.988,38.847,171.153,576.232,249.732,100.551,,2762.822,1028.303,44.537,58.188,705.632,128.943,1364.097,90.957,110.734,920.781,102.922,53.082,
2001-01-01,Per capita spending ($US),3854.196,50.612,210.374,,74.748,119.503,78.118,33.665,351.856,15.464,17.006,110.605,53.223,24.823,26.222,90.346,64.113,120.316,9.827,109.013,125.248,12.613,313.325,44.588,39.942,37.986,30.845,55.427,55.385,22.559,8.835,34.163,55.494,156.363,7.695,366.362,22.176,38.428,11.053,176.343,45.729,467.287,23.859,407.477,,21.367,26.8,23.242,35.723,797.735,722.247,1356.66,1078.863,218.96,107.018,522.874,3901.375,714.399,218.364,491.085,319.831,207.838,168.384,255.866,401.341,219.495,103.715,69.979,119.708,269.801,460.638,79.634,527.369,211.15,159.989,612.485,485.669,218.794,170.8,496.066,7234.703,1061.137,,867.579,56.522,134.587,125.604,,381.578,1238.916,435.222,285.105,91.234,575.481,22.564,1318.894,885.532,33.597,139.016,1463.888,63.426,162.316,2404.437,69.455,4325.46,44.785,173.371,3505.452,234.276,381.537,993.848,995.748,4887.853,654.151,3261.575,3947.368,111.997,4209.258,1622.196,772.443,4814.127,3160.072,2657.546,2907.246,157.589,38.361,526.058,527.996,7292.669,1383.85,,3994.613,330.968,6600.528,477.641,1945.043,88.915,279.003,360.581,3770.377,271.398,579.062,1568.779,1927.936,3682.146,7438.863,15.412,211.831,167.699,170.262,2983.037,40.552,17.223,64.03,38.443,43.792,583.397,8.659,25.35,73.75,125.583,,3978.798,923.508,48.211,112.499,125.343,2558.481,208.297,40.187,178.393,518.021,277.497,92.554,,2866.567,977.531,49.008,54.722,819.753,122.477,1255.716,111.83,131.817,747.777,99.281,65.643,
2002-01-01,Per capita spending ($US),4059.819,50.568,222.831,22.93,74.138,120.938,63.774,32.031,388.48,16.097,15.937,114.752,56.311,26.491,37.737,92.993,49.25,113.195,9.614,284.298,139.253,12.416,322.765,46.668,37.019,43.133,27.389,55.195,50.523,22.961,11.485,37.75,61.704,172.231,9.349,385.645,22.951,33.48,11.591,174.062,47.962,404.505,32.038,392.543,,21.74,26.268,26.862,44.144,773.87,562.272,1335.833,1148.887,229.396,109.366,541.239,4084.28,740.71,214.226,529.779,310.804,218.659,206.39,258.871,454.664,220.62,109.588,63.604,127.399,248.753,477.151,82.815,539.423,176.548,174.419,625.105,509.283,234.177,242.858,618.817,7741.867,965.769,26.453,923.341,66.455,138.787,121.178,,385.84,1217.095,390.369,323.347,99.043,580.104,23.392,1423.017,800.147,34.122,146.9,1559.328,62.724,163.762,2462.946,131.864,4434.645,48.006,181.282,3622.642,240.04,419.961,1064.348,1064.787,5041.522,691.515,3481.115,4097.534,131.232,4315.95,1733.905,846.482,5154.935,3434.611,2569.095,2957.49,179.522,40.811,570.226,582.935,7891.664,1552.836,,4276.0,357.836,7463.986,518.646,1984.747,115.256,310.496,399.527,3534.353,338.0,625.693,1652.35,1965.265,3897.735,7705.911,15.923,230.296,165.016,189.345,3151.391,40.869,19.16,62.751,38.995,42.2,650.345,11.307,25.832,75.371,145.585,,4163.848,936.305,51.402,125.683,131.481,2594.633,201.543,36.423,182.884,466.276,260.001,99.135,,3058.071,1060.348,57.089,51.496,820.534,151.41,1367.214,162.503,143.477,559.097,105.755,56.091,
2003-01-01,Per capita spending ($US),4249.091,54.82,231.841,25.088,82.192,122.787,67.643,32.367,386.841,17.796,15.598,124.26,55.754,26.291,31.54,92.604,54.257,101.16,14.46,206.516,165.801,12.276,339.479,41.129,37.079,38.059,23.758,58.198,48.039,24.863,14.568,40.315,65.056,180.915,10.155,402.901,22.27,72.412,25.646,213.93,53.716,438.784,30.247,422.179,,22.885,24.355,31.853,46.606,856.505,565.426,1372.275,1334.797,240.034,117.164,509.371,4190.751,772.096,226.149,551.863,343.236,187.206,251.857,258.465,423.946,226.369,111.406,66.661,143.246,228.22,545.544,89.001,524.577,187.588,166.968,638.232,512.447,242.007,232.712,621.316,8170.229,966.02,25.246,997.084,76.367,132.964,138.946,76.525,371.554,1229.095,366.074,307.103,104.514,560.405,20.861,2007.064,814.488,41.833,154.943,1574.114,75.505,182.125,2374.337,142.779,4525.962,52.16,200.3,4014.376,279.704,452.703,1076.347,1163.739,5161.152,818.064,3686.602,4131.504,152.361,4382.67,1880.012,1007.665,5410.043,3655.257,2533.46,2932.519,201.092,54.837,596.008,657.442,8238.923,1646.694,,4464.905,365.884,7666.144,527.099,2033.592,118.029,375.94,402.9,3177.341,357.034,652.783,1712.427,2210.748,4023.799,7845.586,18.304,238.088,231.275,228.241,3409.452,42.428,19.999,59.846,39.082,49.528,563.582,11.709,25.929,71.402,150.466,64.258,4300.093,970.998,51.85,138.516,130.777,2678.334,169.165,46.166,206.869,455.644,320.748,83.417,,3095.558,1144.017,53.229,61.859,898.871,147.293,1517.158,118.45,136.731,603.952,96.61,60.695,
