Year,Type,Region,Recipient,Total,African Development Bank,African Development Fund,Arab Bank for Economic Development in Africa,Arab Fund,Asian Development Bank,Asian Infrastructure Investment Bank,Caribbean Development Bank,Central American Bank for Economic Integration,Council of Europe Development Bank,Development Bank of Latin America,European Bank for Reconstruction and Development,European Investment Bank,IDB Invest,Inter-American Development Bank,International Bank for Reconstruction and Development,International Development Association,Islamic Development Bank
2021,ODA Loans,Africa,Kenya,133.327,,5.30359,,,,,,,,,,,,,,128.02345,
2021,ODA Loans,Africa,Guinea-Bissau,0.5194,,0.0,,,,,,,,,,,,,,0.51941,
2021,ODA Loans,Africa,Guinea,10.7528,,0.0,,,,,,,,,,,,,,10.75276,
2021,ODA Loans,Africa,Ghana,92.6714,,0.0,,,,,,,,,,,,,,92.67142,
2021,ODA Loans,Africa,Gambia,0.0,,0.0,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Ethiopia,41.6196,,0.0,,,,,,,,,,,,,,41.61959,
2021,ODA Loans,Africa,Equatorial Guinea,0.0,,0.0,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Egypt,0.78,,0.0,,0.78,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Democratic Republic of the Congo,75.8598,,0.0,,,,,,,,,,,,,,75.85985,
2021,ODA Grants,South America,Peru,0.1038,,,,,,,,,,0.0,,,,0.1038,,,
2021,ODA Loans,Africa,C̫te d'Ivoire,177.9932,,,,,,,,,,,,,,,,177.99324,
2021,ODA Loans,Africa,Congo,1.9759,,,,,,,,,,,,,,,,1.97588,
2021,ODA Loans,Africa,Comoros,1.4869,,,,,,,,,,,,,,,,1.48688,
2021,ODA Loans,Africa,Chad,0.0,,0.0,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Central African Republic,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Cameroon,34.9444,,0.0,,,,,,,,,,,,,,34.94436,
2021,ODA Loans,Africa,Cabo Verde,2.0612,,0.0,,,,,,,,,,,,,,2.06125,
2021,ODA Loans,Africa,Burundi,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Burkina Faso,16.3624,,0.0,,,,,,,,,,,,,,16.36237,
2021,ODA Loans,Africa,Botswana,0.0,,0.0,,,,,,,,,,,,,,,
2021,ODA Loans,Africa,Benin,5.976,,0.0,,,,,,,,,,,,,,5.97604,
2021,ODA Loans,Africa,Angola,0.0,,0.0,,,,,,,,,,,,,,0.0,
2021,ODA Grants,South America,Venezuela,0.0,,,,,,,,,,0.0,,,,,,,
2021,ODA Grants,South America,Suriname,0.0854,,,,,,,,,,,,,,0.0854,,,
2021,ODA Grants,Middle East,Jordan,0.323,,,,0.323,,,,,,,,,,,,,0.0
2021,ODA Grants,Europe,North Macedonia,0.2365,,,,,,,,,0.23652,,,,,,,,
2021,ODA Grants,Europe,Albania,0.1183,,,,,,,,,0.11826,,,,,,,,
2021,ODA Grants,Africa,Gambia,8.0956,,,,,,,,,,,,,,,,8.09565,
2021,ODA Grants,Africa,Sierra Leone,7.9925,,,,,,,,,,,,,,,,7.99246,
2021,ODA Grants,Africa,Senegal,18.4948,,,,,,,,,,,,,,,,18.4948,
2021,ODA Grants,Africa,Sao Tome and Principe,1.895,,,,,,,,,,,,,,,,1.89501,
2021,ODA Grants,Africa,Rwanda,31.8519,,,,,,,,,,,,,,,,31.85193,
2021,ODA Grants,Africa,Niger,10.8208,,,,,,,,,,,,,,,,10.82078,
2021,ODA Grants,Africa,Mozambique,47.4719,,,,,,,,,,,,,,,,47.47191,
2021,ODA Grants,Africa,Mauritania,15.4172,,,,0.06,,,,,,,,,,,,15.35717,
2021,ODA Grants,Africa,Mali,18.6361,,,,,,,,,,,,,,,,18.63614,
2021,ODA Grants,Africa,Malawi,21.2406,,,,,,,,,,,,,,,,21.24065,
2021,ODA Grants,Africa,Madagascar,22.0998,,,,,,,,,,,,,,,,22.09981,
2021,ODA Grants,Africa,Liberia,0.3958,,,,,,,,,,,,,,,,0.39576,
2021,ODA Grants,Africa,Guinea-Bissau,1.6398,,0.0,,,,,,,,,,,,,,1.63977,
2021,ODA Grants,Africa,Guinea,8.6539,0.0,,,,,,,,,,,,,,,8.65393,
2021,ODA Grants,Africa,Ghana,0.0012,,,,,,,,,,,,,,,,0.00115,
2021,ODA Grants,Africa,Ethiopia,46.8495,,0.6087,,,,,,,,,,,,,,46.24078,
2021,ODA Grants,Asia,Viet Nam,0.3455,,,,,0.34554,,,,,,,,,,,,
2021,ODA Grants,Africa,Egypt,0.592,,,,0.592,,,,,,,,,,,,,
2021,ODA Grants,Africa,"Eastern Africa, regional",4.1884,,,,,,,,,,,,,,,,4.18842,
2021,ODA Grants,Africa,Djibouti,3.2185,,,,,,,,,,,,,,,,3.21848,
2021,ODA Grants,Africa,Democratic Republic of the Congo,95.93,,,,,,,,,,,,,,,,95.93005,
2021,ODA Grants,Africa,C̫te d'Ivoire,1.0802,,,,,,,,,,,,,,,,1.08016,
2021,ODA Grants,Africa,Comoros,5.0086,,,,,,,,,,,,,,,,5.00864,0.0
2021,ODA Grants,Africa,Chad,16.9081,,,,,,,,,,,,,,,,16.90807,0.0
2021,ODA Grants,Africa,Central African Republic,13.6634,,,,,,,,,,,,,,,,13.66341,
2021,ODA Grants,Africa,Burundi,12.5732,,0.2809,,,,,,,,,,,,,,12.29227,
2021,ODA Grants,Africa,Burkina Faso,19.5535,,,,,,,,,,,,,,,,19.55349,0.0
2021,ODA Grants,Africa,Benin,25.3821,,,,,,,,,,,,,,,,25.38208,
2021,ODA Grants,Africa,Algeria,0.495,,,,0.495,,,,,,,,,,,,,
2021,ODA Grants,Africa,"Africa, regional",11.3585,,11.35848,,,,,,,,,,,,,,,0.0
2021,Equity Investment,Africa,"Africa, regional",0.3997,,,,,,,,,,,,0.39972,,,,,
2021,ODA Grants,Africa,Somalia,7.2906,,,,,,,,,,,,,,,,7.29055,0.0
2021,ODA Grants,Africa,South Sudan,38.1762,,,,,,,,,,,,,,,,38.17616,
2021,ODA Grants,Africa,"South of Sahara, regional",0.0,,,,,,,,,,,,,,,,,0.0
2021,ODA Grants,Africa,Sudan,11.9882,,1.78368,,0.0,,,,,,,,,,,,10.2045,0.0
2021,ODA Grants,Asia,Uzbekistan,0.0281,,,,,0.02808,,,,,,,,,,,,
2021,ODA Grants,Asia,Turkmenistan,0.0289,,,,,0.02894,,,,,,,,,,,,
2021,ODA Grants,Asia,Tajikistan,38.9454,,,,,25.92934,,,,,,,,,,,13.01606,
2021,ODA Grants,Asia,Sri Lanka,0.0849,,,,,0.08486,,,,,,,,,,,,
2021,ODA Grants,Asia,"South Asia, regional",0.4754,,,,,0.4754,,,,,,,,,,,,
2021,ODA Grants,Asia,Philippines,0.2331,,,,,0.23314,,,,,,,,,,,,0.0
2021,ODA Grants,Asia,Pakistan,1.9567,,,,,0.41722,,,,,,,,,,,1.53948,
2021,ODA Grants,Asia,Nepal,0.2741,,,,,0.27414,,,,,,,,,,,,
2021,ODA Grants,Asia,Mongolia,4.4365,,,,,4.43649,,,,,,,,,,,,
2021,ODA Grants,Asia,Maldives,1.8776,,,,,0.5833,,,,,,,,,,,1.29427,
2021,ODA Grants,Asia,Lao People's Democratic Republic,0.0052,,,,,,,,,,,,,,,,0.00525,
2021,ODA Grants,Asia,Kyrgyzstan,4.5223,,,,,2.52949,,,,,,,,,,,1.99285,
2021,ODA Grants,Asia,Kazakhstan,1.7286,,,,,1.72856,,,,,,,,,,,,
2021,ODA Grants,Asia,India,3.1042,,,,,3.10417,,,,,,,,,,,,
2021,ODA Grants,Asia,Georgia,1.4582,,,,,1.45825,,,,,,,,,,,,
2021,ODA Grants,Asia,"Far East Asia, regional",1.4666,,,,,1.46662,,,,,,,,,,,,
2021,ODA Grants,Asia,China (People's Republic of),0.5226,,,,,0.52262,,,,,,,,,,,,
2021,ODA Grants,Asia,"Central Asia, regional",0.9758,,,,,0.97582,,,,,,,,,,,,
2021,ODA Grants,Asia,Bhutan,8.2107,,,,,8.21067,,,,,,,,,,,,
2021,ODA Grants,Asia,Bangladesh,56.4933,,,,,0.02036,,,,,,,,,,,56.47293,
2021,ODA Grants,Asia,"Asia, regional",7.6633,,,,,7.66331,,,,,,,,,,,,
2021,ODA Grants,Asia,Armenia,0.0376,,,,,0.03761,,,,,,,,,,,,
2021,ODA Grants,Asia,Afghanistan,21.3252,,,,,0.77018,,,,,,,,,,,20.55497,
2021,ODA Grants,Africa,Zimbabwe,6.5093,,6.50928,,,,,,,,,,,,,,,
2021,ODA Grants,Africa,"Western Africa, regional",6.5803,,,,,,,,,,,,,,,,6.58029,
2021,ODA Grants,Africa,Uganda,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Grants,Africa,Tunisia,0.1186,0.11858,,,,,,,,,,,,,,,,
2021,ODA Grants,Africa,Togo,13.5904,,,,,,,,,,,,,,,,13.59039,
2021,ODA Grants,Africa,Tanzania,0.0,,,,,,,,,,,,,,,,,0.0
2021,ODA Loans,Africa,Morocco,118.2592,,0.0,,,,,,,,,,118.25922,,,,,
2021,ODA Grants,Europe,Bosnia and Herzegovina,0.3311,,,,,,,,,0.33113,,,,,,,,0.0
2021,ODA Loans,Africa,Niger,5.0352,,0.0,,,,,,,,,,,,,,5.03519,
2021,Other Official Flows (non Export Credit),Asia,Azerbaijan,80.0,,,,,80.0,,,,,,,,,,0.0,,
2021,Other Official Flows (non Export Credit),Asia,Uzbekistan,0.25,,,,,0.0,0.25,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Asia,Turkmenistan,15.0055,,,,,,,,,,,,,,,15.00548,,
2021,Other Official Flows (non Export Credit),Asia,Thailand,201.0,,,,,201.0,,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Asia,Sri Lanka,369.5675,,,,,30.08633,90.0,,,,,,,,,187.84675,61.63441,
2021,Other Official Flows (non Export Credit),Asia,Philippines,1342.9989,,,,,750.14479,295.628,,,,,,,,,297.22609,,
2021,Other Official Flows (non Export Credit),Asia,Pakistan,0.837,,,,,0.83703,,,,,,,,,,,,0.0
2021,Other Official Flows (non Export Credit),Asia,Mongolia,128.8403,,,,,107.86444,10.5,,,,,,,,,10.47588,,
2021,Other Official Flows (non Export Credit),Asia,Maldives,0.738,,,,,,0.738,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Asia,Kazakhstan,12.3343,,,,,,,,,,,,,,,12.3343,,
2021,Other Official Flows (non Export Credit),Asia,Indonesia,272.5091,,,,,150.03264,37.5,,,,,,,,,84.9765,,
2021,Other Official Flows (non Export Credit),Asia,India,642.4734,,,,,13.61554,164.033,,,,,,,,,444.42686,20.398,
2021,Other Official Flows (non Export Credit),Asia,Georgia,55.5619,,,,,0.0,34.596,,,,,,,,,20.96593,,
2021,Other Official Flows (non Export Credit),Asia,China (People's Republic of),401.5216,,,,,70.61948,0.749,,,,,,,,,330.15315,,
2021,Other Official Flows (non Export Credit),Asia,Bangladesh,529.0186,,,,,525.6516,3.367,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Asia,"Asia, regional",23.8845,,,,,23.8845,,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Europe,Belarus,79.2379,,,,,,,,,,,,,,,79.23788,,
2021,Other Official Flows (non Export Credit),Asia,Armenia,1.5828,,,,,,,,,,,,,,,1.58276,,
2021,Other Official Flows (non Export Credit),Africa,Tunisia,47.8535,,,,,,,,,,,,,,,47.8535,,
2021,Other Official Flows (non Export Credit),Africa,Rwanda,0.0,,,,,,0.0,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Africa,Morocco,60.3607,0.0,,,,,,,,,,,,,,60.36067,,
2021,Other Official Flows (non Export Credit),Africa,Liberia,2.171,,,,,,,,,,,,,,,,2.17099,
2021,Other Official Flows (non Export Credit),Africa,Kenya,0.0,,,,,,,,,,,,,,,,,0.0
2021,Other Official Flows (non Export Credit),Africa,Guinea,0.0,,,,,,,,,,,,,,,,,0.0
2021,Other Official Flows (non Export Credit),Africa,Gabon,5.0295,,,,,,,,,,,,,,,5.02951,,
2021,Other Official Flows (non Export Credit),Africa,Eswatini,8.2303,,,,,,,,,,,,,,,8.23028,,
2021,Other Official Flows (non Export Credit),Africa,Equatorial Guinea,0.0,0.0,,,,,,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),Africa,Egypt,51.7209,,,,,,,,,,,,,,,51.72094,,
2021,Other Official Flows (non Export Credit),Africa,C̫te d'Ivoire,0.0,,,,,,,,,,,,,,,,,0.0
2021,Other Official Flows (non Export Credit),Africa,Chad,0.0,,,,,,,,,,,,,,,,,0.0
2021,Other Official Flows (non Export Credit),Africa,Burkina Faso,1.4418,,,,,,,,,,,,,,,,1.44184,
2021,Other Official Flows (non Export Credit),Europe,Albania,17.4324,,,,,,,,,0.0,,,,,,17.43244,,
2021,Other Official Flows (non Export Credit),Europe,Bosnia and Herzegovina,18.6686,,,,,,,,,,,0.11826,,,,18.55031,,
2021,Other Official Flows (non Export Credit),Africa,Benin,0.0,,,,,,,,,,,,,,,,,0.0
2021,Other Official Flows (non Export Credit),North & Central America,Honduras,30.6022,,,,,,,,30.60217,,,,,,,,,
2021,ODA Loans,Africa,Nigeria,169.4535,,0.0,,,,,,,,,,,,,,169.45347,
2021,Other Official Flows (non Export Credit),South America,Peru,121.036,,,,,,,,,,0.0,,,,2.03597,119.0,,
2021,Other Official Flows (non Export Credit),South America,Paraguay,35.4027,,,,,,,,,,,,,,,35.40266,,
2021,Other Official Flows (non Export Credit),South America,Ecuador,190.2049,,,,,,,,,,0.0,,,,49.9247,140.28022,,
2021,Other Official Flows (non Export Credit),South America,Colombia,146.9191,,,,,,,,,,,,,,85.0,61.91911,,
2021,Other Official Flows (non Export Credit),South America,Brazil,111.0341,,,,,,,,,,,,,,87.37306,23.66104,,
2021,Other Official Flows (non Export Credit),South America,Bolivia,50.5107,,,,,,,,,,0.0,,,,,50.51068,,
2021,Other Official Flows (non Export Credit),South America,Argentina,883.9725,,,,,,,,37.60242,,0.0,,,,182.41849,663.95159,,
2021,Other Official Flows (non Export Credit),Oceania,Papua New Guinea,3.276,,,,,3.27598,,,,,,,,,,,,
2021,Other Official Flows (non Export Credit),North & Central America,Saint Vincent and the Grenadines,0.0,,,,,,,,,,,,,,,0.0,,
2021,Other Official Flows (non Export Credit),North & Central America,Panama,21.0238,,,,,,,,,,,,,,13.56887,7.45494,,
2021,Other Official Flows (non Export Credit),North & Central America,Nicaragua,23.8267,,,,,,,,23.82667,,,,,,,,,
2021,Other Official Flows (non Export Credit),North & Central America,Mexico,0.0,,,,,,,,,,0.0,,,,,,,
2021,Other Official Flows (non Export Credit),North & Central America,Jamaica,18.4691,,,,,,,,,,,,,,3.46912,15.0,,
2021,Other Official Flows (non Export Credit),North & Central America,Guatemala,6.8922,,,,,,,,,,,,,,0.0,6.89221,,
2021,Other Official Flows (non Export Credit),Europe,Moldova,35.4778,,,,,,,,,35.47777,,,,,,,,
2021,Other Official Flows (non Export Credit),North & Central America,El Salvador,60.1938,,,,,,,,,,,,,,34.0,26.19375,,
2021,Other Official Flows (non Export Credit),North & Central America,Dominican Republic,0.0,,,,,,,,,,,,,,,0.0,,
2021,Other Official Flows (non Export Credit),North & Central America,Dominica,1.1129,,,,,,,,,,,,,,1.11294,,,
2021,Other Official Flows (non Export Credit),North & Central America,Costa Rica,79.6884,,,,,,,,79.68845,,,,,,0.0,0.0,,
2021,Other Official Flows (non Export Credit),North & Central America,Belize,0.6248,,,,,,,,,,,,,,0.62477,,,
2021,Other Official Flows (non Export Credit),Middle East,Lebanon,43.1381,,,,,,,,,,,,,,,43.1381,,
2021,Other Official Flows (non Export Credit),Middle East,Jordan,49.5136,,,,,,,,,,,,,,,49.51355,,
2021,Other Official Flows (non Export Credit),Middle East,Iraq,85.4892,,,,,,,,,,,,,,,85.48918,,
2021,Other Official Flows (non Export Credit),Middle East,Iran,0.1287,,,,,,,,,,,,,,,0.12874,,
2021,Other Official Flows (non Export Credit),Europe,Ukraine,195.4588,,,,,,,,,,,,,,,195.45881,,
2021,Other Official Flows (non Export Credit),Europe,Turkey,423.5054,,,,,,256.735,,,118.25922,,,,,,48.51117,,
2021,Other Official Flows (non Export Credit),Europe,Serbia,275.9504,,,,,,,,,260.17029,,,,,,15.78007,,
2021,Other Official Flows (non Export Credit),Europe,North Macedonia,13.9063,,,,,,,,,0.0,,,,,,13.90627,,
2021,Other Official Flows (non Export Credit),Europe,Montenegro,35.4778,,,,,,,,,35.47777,,,,,,,,
2021,Other Official Flows (non Export Credit),Africa,Botswana,0.0,,,,,,,,,,,,,,,0.0,,
2021,Other Official Flows (non Export Credit),Asia,Viet Nam,21.5297,,,,,9.22535,,,,,,,,,,,12.30437,
2021,ODA Loans,Asia,Cambodia,17.7842,,,,,4.34067,,,,,,,,,,,13.44354,
2021,ODA Loans,Asia,Azerbaijan,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,Sri Lanka,62.2352,,,,,6.70148,,,,,,,,,,,55.53369,
2021,ODA Loans,Asia,Philippines,0.0,,,,,0.0,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,Pakistan,675.0075,,,,,473.166,,,,,,,,,,,201.8415,0.0
2021,ODA Loans,Asia,Nepal,122.0993,,,,,42.14166,,,,,,,,,,,79.9576,
2021,ODA Loans,Asia,Mongolia,60.5447,,,,,18.41332,,,,,,,,,,,42.13134,
2021,ODA Loans,Asia,Maldives,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,Lao People's Democratic Republic,20.6802,,,,,9.58322,,,,,,,,,,,11.09698,
2021,ODA Loans,Asia,Kyrgyzstan,3.0033,,,,,1.01048,,,,,,,,,,,1.99285,
2021,ODA Loans,Asia,Indonesia,0.0,,,,,0.0,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,India,35.8449,,,,,,,,,,,,,,,,35.84493,
2021,ODA Loans,Asia,Georgia,0.0,,,,,0.0,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,China (People's Republic of),0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,Bhutan,3.5613,,,,,0.0,,,,,,,,,,,3.56132,
2021,ODA Loans,Asia,Bangladesh,600.3231,,,,,478.87792,,,,,,,,,,,121.44516,
2021,ODA Loans,Asia,Armenia,0.26,,,,,,,,,,,,,,,,0.26,
2021,ODA Loans,Asia,Uzbekistan,48.8705,,,,,21.8408,,,,,,,,,,,27.02968,
2021,ODA Loans,Asia,Afghanistan,0.0,,,,,0.0,,,,,,,,,,,,
2021,ODA Loans,Africa,Zambia,6.1143,,0.0,,,,,,,,,,,,,,6.11426,
2021,ODA Loans,Africa,Uganda,14.3001,,4.97858,,,,,,,,,,,,,,9.32148,
2021,ODA Loans,Africa,Tunisia,3.337,,,,3.337,,,,,,,,,,,,,
2021,ODA Loans,Africa,Togo,6.1189,,,,,,,,,,,,,,,,6.11892,
2021,ODA Loans,Africa,Tanzania,54.2136,,1.19926,,,,,,,,,,,,,,53.01439,
2021,ODA Loans,Africa,Sudan,0.0,,0.0,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Somalia,0.0,,0.0,,,,,,,,,,,,,,,
2021,ODA Loans,Africa,Sierra Leone,2.6064,,0.0,,,,,,,,,,,,,,2.60639,
2021,ODA Loans,Africa,Senegal,38.4287,,0.0,,,,,,,,,,,,,,38.42869,0.0
2021,ODA Loans,Africa,Sao Tome and Principe,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Africa,Rwanda,40.8162,,2.18351,,,,,,,,,,,,,,38.6327,
2021,Other Official Flows (non Export Credit),Africa,Angola,18.7312,,,,,,,,,,,,,,,18.73117,,
2021,ODA Loans,Africa,"North of Sahara, regional",118.2592,,,,,,,,,,,,118.25922,,,,,
2021,ODA Loans,Asia,Tajikistan,0.0,,,,,0.0,,,,,,,,,,,0.0,
2021,ODA Loans,Asia,Myanmar,38.3124,,,,,37.56238,,,,,,,,,,,0.75,
2021,ODA Loans,Asia,Viet Nam,11.3984,,,,,4.0672,,,,,,,,,,,7.33117,
2021,ODA Loans,Oceania,Solomon Islands,0.3796,,,,,0.0,,,,,,,,,,,0.37961,
2021,ODA Loans,North & Central America,Saint Lucia,2.4,,,,,,,,,,,,,,,,2.40002,
2021,ODA Loans,North & Central America,Saint Vincent and the Grenadines,0.494,,,,,,,,,,,,,,,,0.49398,
2021,ODA Loans,Oceania,Fiji,1.5559,,,,,,,,,,,,,,,,1.55592,
2021,ODA Loans,Oceania,Marshall Islands,0.0,,,,,0.0,,,,,,,,,,,,
2021,ODA Loans,Oceania,Papua New Guinea,21.4773,,,,,5.06156,,,,,,,,,,,16.41576,
2021,ODA Loans,Oceania,Samoa,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Oceania,Tonga,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,North & Central America,Honduras,46.2047,,,,,,,,,,,,,,38.0,,8.20469,
2021,ODA Loans,Oceania,Vanuatu,0.9855,,,,,0.9855,,,,,,,,,,,,
2021,ODA Loans,South America,Argentina,21.5897,,,,,,,,21.58974,,,,,,,,,
2021,ODA Loans,South America,Bolivia,5.5211,,,,,,,,,,,,,,5.52111,,0.0,
2021,ODA Loans,South America,Guyana,0.6881,,,,,,,,,,,,,,0.0,,0.68814,
2021,ODA Loans,South America,Paraguay,0.0,,,,,,,,,,,,,,0.0,,,
2021,Other Official Flows (non Export Credit),Africa,"Africa, regional",591.2961,,,,,,,,,,,,591.29612,,,,,
2021,ODA Loans,North & Central America,Nicaragua,113.0398,,,,,,,,0.0,,,,,,76.71106,,36.32872,
2021,ODA Loans,Oceania,Micronesia,0.0,,,,,0.0,,,,,,,,,,,,
2021,ODA Loans,North & Central America,Guatemala,0.0,,,,,,,,,,,,,,0.0,,,
2021,ODA Loans,Europe,Serbia,74.5033,,,,,,,,,,,,74.50331,,,,0.0,
2021,ODA Loans,Europe,Albania,0.0,,,,,,,,,0.0,,,,,,,0.0,
2021,ODA Loans,Europe,Kosovo,35.52,,,,,,,,,20.35981,,,,,,,15.16018,
2021,ODA Loans,Europe,Moldova,30.8924,,,,,,,,,8.42862,,,,,,,22.46382,
2021,ODA Loans,Europe,Montenegro,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Europe,North Macedonia,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,Europe,Bosnia and Herzegovina,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,
2021,ODA Loans,Europe,Turkey,0.0,,,,,,,,,,,,0.0,,,,,
2021,ODA Loans,Middle East,Yemen,0.0,,,,,,,,,,,,,,,,0.0,
2021,ODA Loans,North & Central America,Dominica,4.8724,,,,,,,,,,,,,,,,4.87245,
2021,ODA Loans,North & Central America,Grenada,3.0,,,,,,,,,,,,,,,,3.0,
2021,ODA Loans,Middle East,Jordan,62.8583,,,,3.75,,,,,,,,59.10832,,,,,
2020,ODA Grants,Oceania,Fiji,1.1575,,,,,1.15746,,,,,,,,,,,,
2020,ODA Grants,North & Central America,Haiti,30.1448,,,,,,,,,,,,,,,,30.1448,
2020,ODA Grants,North & Central America,Honduras,0.3396,,,,,,,,,,,,,,0.33956,,,
