iso3_code,year,value,condition,source,entity_name,value_annotation
CPV,2019,661386.071965787,Maternal health,Private and out-of-pocket,Cabo Verde,"661,386"
CPV,2019,5954499.612194011,Injuries,Private and out-of-pocket,Cabo Verde,5.95 million
CPV,2019,11220854.03059976,Maternal health,Domestic government,Cabo Verde,11.22 million
CPV,2019,207415.18548709204,Noncommunicable diseases,External,Cabo Verde,"207,415"
CPV,2019,1241.4079148525825,Tuberculosis,External,Cabo Verde,"1,241"
CPV,2019,67194.81466291573,Tuberculosis,Domestic government,Cabo Verde,"67,195"
CPV,2019,2056359.6149989525,Injuries,Domestic government,Cabo Verde,2.06 million
CPV,2019,751181.4835826398,Noncommunicable diseases,Private and out-of-pocket,Cabo Verde,"751,181"
CPV,2019,207050.02054798056,Nutritional deficiencies,Domestic government,Cabo Verde,"207,050"
CPV,2019,453803.54634798353,Maternal health,External,Cabo Verde,"453,804"
CPV,2019,32499.05750742037,Injuries,External,Cabo Verde,"32,499"
CPV,2019,73001.67989948989,Nutritional deficiencies,External,Cabo Verde,"73,002"
CPV,2019,13659168.470276402,Noncommunicable diseases,Domestic government,Cabo Verde,13.66 million
CPV,2019,375120.8702542256,Family planning,External,Cabo Verde,"375,121"
KHM,2019,5092777.203116997,Nutritional deficiencies,External,Cambodia,5.09 million
KHM,2019,1561818.6249940472,Injuries,External,Cambodia,1.56 million
KHM,2019,89631.64997117012,Family planning,External,Cambodia,"89,632"
KHM,2019,6529741.370356292,Noncommunicable diseases,External,Cambodia,6.53 million
KHM,2019,24745668.56023377,HIV/AIDS and other STDs,External,Cambodia,24.75 million
KHM,2019,7115631.832391194,Tuberculosis,Domestic government,Cambodia,7.12 million
KHM,2019,448744886.26658833,Noncommunicable diseases,Private and out-of-pocket,Cambodia,448.74 million
KHM,2019,2550715.940534991,Nutritional deficiencies,Private and out-of-pocket,Cambodia,2.55 million
KHM,2019,18470607.918025132,Family planning,Private and out-of-pocket,Cambodia,18.47 million
KHM,2019,79456397.0241873,Maternal health,Private and out-of-pocket,Cambodia,79.46 million
KHM,2019,1561828.0667001707,Malaria,Private and out-of-pocket,Cambodia,1.56 million
KHM,2019,11243555.590468636,Tuberculosis,Private and out-of-pocket,Cambodia,11.24 million
KHM,2019,2708777.6185320844,HIV/AIDS and other STDs,Domestic government,Cambodia,2.71 million
KHM,2019,2277521.4000519174,HIV/AIDS and other STDs,Private and out-of-pocket,Cambodia,2.28 million
KHM,2019,117418231.67892855,Noncommunicable diseases,Domestic government,Cambodia,117.42 million
KHM,2019,413899.1728474461,Nutritional deficiencies,Domestic government,Cambodia,"413,899"
KHM,2019,28047544.12611925,Tuberculosis,External,Cambodia,28.05 million
KHM,2019,5924459.544447663,Family planning,Domestic government,Cambodia,5.92 million
KHM,2019,39780970.28874751,Maternal health,Domestic government,Cambodia,39.78 million
KHM,2019,1694517.2799988326,Malaria,Domestic government,Cambodia,1.69 million
KHM,2019,47342297.24295986,Injuries,Domestic government,Cambodia,47.34 million
KHM,2019,4169874.738547014,Maternal health,External,Cambodia,4.17 million
KHM,2019,128359793.53177652,Injuries,Private and out-of-pocket,Cambodia,128.36 million
KHM,2019,10124498.116588932,Malaria,External,Cambodia,10.12 million
CMR,2019,4230315.8963814145,HIV/AIDS and other STDs,Private and out-of-pocket,Cameroon,4.23 million
CMR,2019,80364312.25211722,HIV/AIDS and other STDs,External,Cameroon,80.36 million
CMR,2019,10838.884622464202,Maternal health,External,Cameroon,"10,839"
CMR,2019,19857640.240442865,Nutritional deficiencies,External,Cameroon,19.86 million
CMR,2019,23192942.898775507,Nutritional deficiencies,Private and out-of-pocket,Cameroon,23.19 million
CMR,2019,11458967.834698828,HIV/AIDS and other STDs,Domestic government,Cameroon,11.46 million
CMR,2019,2803997.892488923,Family planning,External,Cameroon,2.80 million
CMR,2019,200814.57059576965,Family planning,Domestic government,Cameroon,"200,815"
CMR,2019,359329.60549371893,Noncommunicable diseases,External,Cameroon,"359,330"
CMR,2019,1960956.1103536685,Tuberculosis,External,Cameroon,1.96 million
CMR,2019,13960.10267784086,Nutritional deficiencies,Domestic government,Cameroon,"13,960"
CMR,2019,30223019.713111985,Noncommunicable diseases,Domestic government,Cameroon,30.22 million
CMR,2019,10963300.495813517,Tuberculosis,Domestic government,Cameroon,10.96 million
CMR,2019,94677586.5092034,Noncommunicable diseases,Private and out-of-pocket,Cameroon,94.68 million
CMR,2019,864870.6563552585,Tuberculosis,Private and out-of-pocket,Cameroon,"864,871"
CMR,2019,141547069.5084293,Malaria,Private and out-of-pocket,Cameroon,141.55 million
CMR,2019,10261735.61904988,Injuries,Private and out-of-pocket,Cameroon,10.26 million
CMR,2019,19212817.289593466,Malaria,Domestic government,Cameroon,19.21 million
CMR,2019,27235757.90801326,Maternal health,Private and out-of-pocket,Cameroon,27.24 million
CMR,2019,2109.080253168274,Maternal health,Domestic government,Cameroon,"2,109"
CMR,2019,26533589.56356243,Malaria,External,Cameroon,26.53 million
CAF,2019,230494.01921148604,Family planning,Domestic government,Central African Republic,"230,494"
CAF,2019,2321460.328426267,Noncommunicable diseases,External,Central African Republic,2.32 million
CAF,2019,460279.8341054697,HIV/AIDS and other STDs,Domestic government,Central African Republic,"460,280"
CAF,2019,18091920.28004083,Malaria,External,Central African Republic,18.09 million
CAF,2019,165841.43947601042,Nutritional deficiencies,Domestic government,Central African Republic,"165,841"
CAF,2019,3433388.23330048,Noncommunicable diseases,Domestic government,Central African Republic,3.43 million
CAF,2019,675373.8052644347,Family planning,External,Central African Republic,"675,374"
CAF,2019,99597.78363344708,Tuberculosis,External,Central African Republic,"99,598"
CAF,2019,5365238.154720094,Malaria,Domestic government,Central African Republic,5.37 million
CAF,2019,624020.2020680545,Maternal health,Domestic government,Central African Republic,"624,020"
CAF,2019,24396.427744127035,Family planning,Private and out-of-pocket,Central African Republic,"24,396"
CAF,2019,39351.44120921644,Tuberculosis,Domestic government,Central African Republic,"39,351"
CAF,2019,4075106.441174127,Nutritional deficiencies,External,Central African Republic,4.08 million
CAF,2019,7578808.893207557,Noncommunicable diseases,Private and out-of-pocket,Central African Republic,7.58 million
CAF,2019,319420.14238500013,Tuberculosis,Private and out-of-pocket,Central African Republic,"319,420"
CAF,2019,5123082.391262808,HIV/AIDS and other STDs,External,Central African Republic,5.12 million
CAF,2019,42670468.960863024,Malaria,Private and out-of-pocket,Central African Republic,42.67 million
CAF,2019,3148445.591661131,Maternal health,External,Central African Republic,3.15 million
CAF,2019,1348297.7146850054,Nutritional deficiencies,Private and out-of-pocket,Central African Republic,1.35 million
CAF,2019,5073255.901576273,Maternal health,Private and out-of-pocket,Central African Republic,5.07 million
CAF,2019,2702148.4490340645,HIV/AIDS and other STDs,Private and out-of-pocket,Central African Republic,2.70 million
TCD,2022,108439.10409941588,Tuberculosis,Private and out-of-pocket,Chad,"108,439"
TCD,2022,250644345.90726784,Noncommunicable diseases,Private and out-of-pocket,Chad,250.64 million
TCD,2022,44152952.36620899,Maternal health,Private and out-of-pocket,Chad,44.15 million
TCD,2022,3630390.977433048,Tuberculosis,Domestic government,Chad,3.63 million
TCD,2022,2696311.4699079734,Nutritional deficiencies,Domestic government,Chad,2.70 million
TCD,2022,13289198.3119891,Noncommunicable diseases,Domestic government,Chad,13.29 million
TCD,2022,47791146.401426785,Malaria,External,Chad,47.79 million
TCD,2022,853264.8174505807,Injuries,Private and out-of-pocket,Chad,"853,265"
TCD,2022,12121726.40656206,Nutritional deficiencies,External,Chad,12.12 million
TCD,2022,5331087.510412601,Tuberculosis,External,Chad,5.33 million
TCD,2022,8063783.089805188,Maternal health,External,Chad,8.06 million
TCD,2022,469112.2786116318,Injuries,External,Chad,"469,112"
TCD,2022,9597680.890278917,HIV/AIDS and other STDs,External,Chad,9.60 million
TCD,2022,42595575.99235415,Malaria,Private and out-of-pocket,Chad,42.60 million
TCD,2022,11634857.765502129,HIV/AIDS and other STDs,Domestic government,Chad,11.63 million
TCD,2022,33255184.9264032,Malaria,Domestic government,Chad,33.26 million
TCD,2022,21509827.17672536,Nutritional deficiencies,Private and out-of-pocket,Chad,21.51 million
TCD,2022,4221152.604246077,Injuries,Domestic government,Chad,4.22 million
TCD,2022,510795.11357527017,Family planning,External,Chad,"510,795"
TCD,2022,5411442.136684348,Noncommunicable diseases,External,Chad,5.41 million
TCD,2022,69320053.14714745,Maternal health,Domestic government,Chad,69.32 million
TCD,2022,319402.32735353673,HIV/AIDS and other STDs,Private and out-of-pocket,Chad,"319,402"
COM,2019,961050.8022801602,HIV/AIDS and other STDs,Domestic government,Comoros,"961,051"
COM,2019,253342.25378145548,Noncommunicable diseases,Domestic government,Comoros,"253,342"
COM,2019,153736.25662443417,Injuries,Domestic government,Comoros,"153,736"
COM,2019,211751.29387852913,Nutritional deficiencies,External,Comoros,"211,751"
COM,2019,17061.32567163957,Tuberculosis,Domestic government,Comoros,"17,061"
COM,2019,27985.787751059474,Nutritional deficiencies,Private and out-of-pocket,Comoros,"27,986"
COM,2019,1435986.048432435,Maternal health,External,Comoros,1.44 million
COM,2019,3994429.478828833,Family planning,Domestic government,Comoros,3.99 million
COM,2019,2359942.6414590534,Malaria,External,Comoros,2.36 million
COM,2019,720476.0675849185,Tuberculosis,External,Comoros,"720,476"
COM,2019,29223.87954512648,Injuries,External,Comoros,"29,224"
COM,2019,13612.7805928468,Malaria,Domestic government,Comoros,"13,613"
COM,2019,311449.28553388966,HIV/AIDS and other STDs,Private and out-of-pocket,Comoros,"311,449"
COM,2019,918582.0864278714,Family planning,External,Comoros,"918,582"
COM,2019,444376.7874545906,Noncommunicable diseases,External,Comoros,"444,377"
COM,2019,6363641.223121234,Injuries,Private and out-of-pocket,Comoros,6.36 million
COM,2019,695151.3298729125,Malaria,Private and out-of-pocket,Comoros,"695,151"
COM,2019,1551939.9616001323,HIV/AIDS and other STDs,External,Comoros,1.55 million
COM,2019,26681.362063604432,Nutritional deficiencies,Domestic government,Comoros,"26,681"
COM,2019,4627.387066418598,Tuberculosis,Private and out-of-pocket,Comoros,"4,627"
COM,2019,1101723.08802398,Family planning,Private and out-of-pocket,Comoros,1.10 million
COM,2019,3061741.251238868,Noncommunicable diseases,Private and out-of-pocket,Comoros,3.06 million
COM,2019,12119.517389982551,Maternal health,Private and out-of-pocket,Comoros,"12,120"
COG,2020,134724.04009511138,Maternal health,Private and out-of-pocket,Congo Republic,"134,724"
COG,2020,70622262.46273401,Malaria,Private and out-of-pocket,Congo Republic,70.62 million
COG,2020,6073705.666852822,Nutritional deficiencies,Private and out-of-pocket,Congo Republic,6.07 million
COG,2020,5449169.322177823,HIV/AIDS and other STDs,Private and out-of-pocket,Congo Republic,5.45 million
COG,2020,17347125.795437675,HIV/AIDS and other STDs,Domestic government,Congo Republic,17.35 million
COG,2020,210457.26009210464,Maternal health,External,Congo Republic,"210,457"
COG,2020,940920.951130355,Tuberculosis,Private and out-of-pocket,Congo Republic,"940,921"
COG,2020,2056.4244647431155,Family planning,Private and out-of-pocket,Congo Republic,"2,056"
COG,2020,834089.0881885217,Noncommunicable diseases,External,Congo Republic,"834,089"
COG,2020,1304514.1606689284,Injuries,External,Congo Republic,1.30 million
COG,2020,13003083.0082457,Noncommunicable diseases,Domestic government,Congo Republic,13.00 million
COG,2020,559832.5938571318,Tuberculosis,External,Congo Republic,"559,833"
COG,2020,1920591.6039412527,HIV/AIDS and other STDs,External,Congo Republic,1.92 million
COG,2020,21456032.817532018,Injuries,Domestic government,Congo Republic,21.46 million
COG,2020,5205110.616973395,Maternal health,Domestic government,Congo Republic,5.21 million
COG,2020,18300003.305906534,Injuries,Private and out-of-pocket,Congo Republic,18.30 million
COG,2020,12763019.453318477,Malaria,External,Congo Republic,12.76 million
COG,2020,11634438.10693494,Noncommunicable diseases,Private and out-of-pocket,Congo Republic,11.63 million
COG,2020,771696.5737749038,Nutritional deficiencies,External,Congo Republic,"771,697"
COG,2020,9394973.336729886,Nutritional deficiencies,Domestic government,Congo Republic,9.39 million
COG,2020,82165920.71403912,Malaria,Domestic government,Congo Republic,82.17 million
COG,2020,193636.48243408065,Family planning,External,Congo Republic,"193,636"
COG,2020,2031929.2625229952,Tuberculosis,Domestic government,Congo Republic,2.03 million
CRI,2020,219506939.74350148,Injuries,Domestic government,Costa Rica,219.51 million
CRI,2020,13466560.310487658,Nutritional deficiencies,Domestic government,Costa Rica,13.47 million
CRI,2020,618182911.0895349,Noncommunicable diseases,Private and out-of-pocket,Costa Rica,618.18 million
CRI,2020,112912.73840554536,Tuberculosis,Private and out-of-pocket,Costa Rica,"112,913"
CRI,2020,2662962.167516519,Tuberculosis,Domestic government,Costa Rica,2.66 million
CRI,2020,0.0,Injuries,External,Costa Rica,0
CRI,2020,0.0,Maternal health,External,Costa Rica,0
CRI,2020,28938.995050297675,Maternal health,Private and out-of-pocket,Costa Rica,"28,939"
CRI,2020,589365.2749808893,Maternal health,Domestic government,Costa Rica,"589,365"
CRI,2020,71446402.12777342,Injuries,Private and out-of-pocket,Costa Rica,71.45 million
CRI,2020,16478460.0239215,Family planning,Domestic government,Costa Rica,16.48 million
CRI,2020,579512.4494204727,HIV/AIDS and other STDs,Private and out-of-pocket,Costa Rica,"579,512"
CRI,2020,0.0,Noncommunicable diseases,External,Costa Rica,0
CRI,2020,0.0,Nutritional deficiencies,External,Costa Rica,0
CRI,2020,0.0,HIV/AIDS and other STDs,External,Costa Rica,0
CRI,2020,1883542881.742456,Noncommunicable diseases,Domestic government,Costa Rica,1.88 billion
CRI,2020,14283748.130867066,Family planning,Private and out-of-pocket,Costa Rica,14.28 million
CRI,2020,11868601.150049666,HIV/AIDS and other STDs,Domestic government,Costa Rica,11.87 million
CRI,2020,0.0,Tuberculosis,External,Costa Rica,0
CRI,2020,32366755.1231957,Nutritional deficiencies,Private and out-of-pocket,Costa Rica,32.37 million
CRI,2020,0.0,Family planning,External,Costa Rica,0
CIV,2021,4149807.02590417,HIV/AIDS and other STDs,Private and out-of-pocket,Cote d'Ivoire,4.15 million
CIV,2021,4495236.157175925,Nutritional deficiencies,External,Cote d'Ivoire,4.50 million
CIV,2021,40451321.89216213,Injuries,Private and out-of-pocket,Cote d'Ivoire,40.45 million
CIV,2021,3448433.481361224,Nutritional deficiencies,Private and out-of-pocket,Cote d'Ivoire,3.45 million
CIV,2021,72172499.51393817,Maternal health,Domestic government,Cote d'Ivoire,72.17 million
CIV,2021,406547221.08808166,Malaria,Private and out-of-pocket,Cote d'Ivoire,406.55 million
CIV,2021,57054098.58454022,Maternal health,Private and out-of-pocket,Cote d'Ivoire,57.05 million
CIV,2021,4628273.194729453,Injuries,Domestic government,Cote d'Ivoire,4.63 million
CIV,2021,5172016.8505550865,Tuberculosis,External,Cote d'Ivoire,5.17 million
CIV,2021,72585726.12164497,Malaria,External,Cote d'Ivoire,72.59 million
CIV,2021,169620516.16841784,Malaria,Domestic government,Cote d'Ivoire,169.62 million
CIV,2021,40047908.26516954,HIV/AIDS and other STDs,Domestic government,Cote d'Ivoire,40.05 million
CIV,2021,3919456.872346065,Tuberculosis,Domestic government,Cote d'Ivoire,3.92 million
CIV,2021,644915.6027155732,Family planning,Private and out-of-pocket,Cote d'Ivoire,"644,916"
CIV,2021,113335391.0890897,HIV/AIDS and other STDs,External,Cote d'Ivoire,113.34 million
CIV,2021,358067750.0507266,Noncommunicable diseases,Private and out-of-pocket,Cote d'Ivoire,358.07 million
CIV,2021,3302532.071365162,Nutritional deficiencies,Domestic government,Cote d'Ivoire,3.30 million
CIV,2021,7888532.785983453,Noncommunicable diseases,External,Cote d'Ivoire,7.89 million
CIV,2021,488061.75293927616,Tuberculosis,Private and out-of-pocket,Cote d'Ivoire,"488,062"
CIV,2021,12594915.08443212,Family planning,Domestic government,Cote d'Ivoire,12.59 million
CIV,2021,14126910.030119965,Maternal health,External,Cote d'Ivoire,14.13 million
CIV,2021,141076591.98018354,Noncommunicable diseases,Domestic government,Cote d'Ivoire,141.08 million
CIV,2021,7008075.905905257,Family planning,External,Cote d'Ivoire,7.01 million
COD,2022,275376.0462694774,Family planning,Domestic government,DR Congo,"275,376"
COD,2022,136740775.4309934,Noncommunicable diseases,Domestic government,DR Congo,136.74 million
COD,2022,182564500.8581729,Malaria,Private and out-of-pocket,DR Congo,182.56 million
COD,2022,23064487.923260614,Maternal health,Domestic government,DR Congo,23.06 million
COD,2022,29229698.63913465,Injuries,Domestic government,DR Congo,29.23 million
