year,source,country,value
2000-01-01,domestic private excluding out-of-pocket,Low income,0.942
2001-01-01,domestic private excluding out-of-pocket,Low income,0.958
2002-01-01,domestic private excluding out-of-pocket,Low income,0.924
2003-01-01,domestic private excluding out-of-pocket,Low income,1.027
2004-01-01,domestic private excluding out-of-pocket,Low income,0.957
2005-01-01,domestic private excluding out-of-pocket,Low income,0.973
2006-01-01,domestic private excluding out-of-pocket,Low income,1.089
2007-01-01,domestic private excluding out-of-pocket,Low income,1.139
2008-01-01,domestic private excluding out-of-pocket,Low income,1.111
2009-01-01,domestic private excluding out-of-pocket,Low income,1.242
2010-01-01,domestic private excluding out-of-pocket,Low income,1.248
2011-01-01,domestic private excluding out-of-pocket,Low income,1.293
2012-01-01,domestic private excluding out-of-pocket,Low income,1.321
2013-01-01,domestic private excluding out-of-pocket,Low income,1.545
2014-01-01,domestic private excluding out-of-pocket,Low income,2.445
2015-01-01,domestic private excluding out-of-pocket,Low income,2.505
2016-01-01,domestic private excluding out-of-pocket,Low income,2.515
2017-01-01,domestic private excluding out-of-pocket,Low income,1.76
2018-01-01,domestic private excluding out-of-pocket,Low income,1.578
2019-01-01,domestic private excluding out-of-pocket,Low income,1.92
2020-01-01,domestic private excluding out-of-pocket,Low income,1.762
2021-01-01,domestic private excluding out-of-pocket,Low income,1.6
2000-01-01,domestic private excluding out-of-pocket,Low income,302.924
2001-01-01,domestic private excluding out-of-pocket,Low income,316.835
2002-01-01,domestic private excluding out-of-pocket,Low income,333.834
2003-01-01,domestic private excluding out-of-pocket,Low income,383.093
2004-01-01,domestic private excluding out-of-pocket,Low income,367.691
2005-01-01,domestic private excluding out-of-pocket,Low income,385.019
2006-01-01,domestic private excluding out-of-pocket,Low income,444.037
2007-01-01,domestic private excluding out-of-pocket,Low income,478.134
2008-01-01,domestic private excluding out-of-pocket,Low income,480.459
2009-01-01,domestic private excluding out-of-pocket,Low income,553.413
2010-01-01,domestic private excluding out-of-pocket,Low income,572.861
2011-01-01,domestic private excluding out-of-pocket,Low income,611.507
2012-01-01,domestic private excluding out-of-pocket,Low income,643.797
2013-01-01,domestic private excluding out-of-pocket,Low income,775.695
2014-01-01,domestic private excluding out-of-pocket,Low income,1264.726
2015-01-01,domestic private excluding out-of-pocket,Low income,1334.096
2016-01-01,domestic private excluding out-of-pocket,Low income,1306.087
2017-01-01,domestic private excluding out-of-pocket,Low income,960.856
2018-01-01,domestic private excluding out-of-pocket,Low income,886.426
2019-01-01,domestic private excluding out-of-pocket,Low income,1109.85
2020-01-01,domestic private excluding out-of-pocket,Low income,1048.373
2021-01-01,domestic private excluding out-of-pocket,Low income,979.378
2000-01-01,domestic private excluding out-of-pocket,Low income,0.184
2001-01-01,domestic private excluding out-of-pocket,Low income,0.182
2002-01-01,domestic private excluding out-of-pocket,Low income,0.178
2003-01-01,domestic private excluding out-of-pocket,Low income,0.194
2004-01-01,domestic private excluding out-of-pocket,Low income,0.176
2005-01-01,domestic private excluding out-of-pocket,Low income,0.171
2006-01-01,domestic private excluding out-of-pocket,Low income,0.187
2007-01-01,domestic private excluding out-of-pocket,Low income,0.188
2008-01-01,domestic private excluding out-of-pocket,Low income,0.178
2009-01-01,domestic private excluding out-of-pocket,Low income,0.197
2010-01-01,domestic private excluding out-of-pocket,Low income,0.19
2011-01-01,domestic private excluding out-of-pocket,Low income,0.197
2012-01-01,domestic private excluding out-of-pocket,Low income,0.2
2013-01-01,domestic private excluding out-of-pocket,Low income,0.229
2014-01-01,domestic private excluding out-of-pocket,Low income,0.353
2015-01-01,domestic private excluding out-of-pocket,Low income,0.364
2016-01-01,domestic private excluding out-of-pocket,Low income,0.367
2017-01-01,domestic private excluding out-of-pocket,Low income,0.253
2018-01-01,domestic private excluding out-of-pocket,Low income,0.223
2019-01-01,domestic private excluding out-of-pocket,Low income,0.266
2020-01-01,domestic private excluding out-of-pocket,Low income,0.25
2021-01-01,domestic private excluding out-of-pocket,Low income,0.225
2000-01-01,domestic private excluding out-of-pocket,Low income,4.51
2001-01-01,domestic private excluding out-of-pocket,Low income,4.24
2002-01-01,domestic private excluding out-of-pocket,Low income,3.84
2003-01-01,domestic private excluding out-of-pocket,Low income,3.91
2004-01-01,domestic private excluding out-of-pocket,Low income,3.42
2005-01-01,domestic private excluding out-of-pocket,Low income,3.32
2006-01-01,domestic private excluding out-of-pocket,Low income,3.42
2007-01-01,domestic private excluding out-of-pocket,Low income,3.4
2008-01-01,domestic private excluding out-of-pocket,Low income,3.33
2009-01-01,domestic private excluding out-of-pocket,Low income,3.41
2010-01-01,domestic private excluding out-of-pocket,Low income,3.48
2011-01-01,domestic private excluding out-of-pocket,Low income,3.76
2012-01-01,domestic private excluding out-of-pocket,Low income,3.89
2013-01-01,domestic private excluding out-of-pocket,Low income,4.22
2014-01-01,domestic private excluding out-of-pocket,Low income,6.38
2015-01-01,domestic private excluding out-of-pocket,Low income,6.58
2016-01-01,domestic private excluding out-of-pocket,Low income,6.39
2017-01-01,domestic private excluding out-of-pocket,Low income,4.5
2018-01-01,domestic private excluding out-of-pocket,Low income,4.29
2019-01-01,domestic private excluding out-of-pocket,Low income,4.98
2020-01-01,domestic private excluding out-of-pocket,Low income,4.55
2021-01-01,domestic private excluding out-of-pocket,Low income,4.11
2000-01-01,domestic private excluding out-of-pocket,Lower middle income,3.213
2001-01-01,domestic private excluding out-of-pocket,Lower middle income,3.669
2002-01-01,domestic private excluding out-of-pocket,Lower middle income,3.526
2003-01-01,domestic private excluding out-of-pocket,Lower middle income,3.831
2004-01-01,domestic private excluding out-of-pocket,Lower middle income,4.091
2005-01-01,domestic private excluding out-of-pocket,Lower middle income,3.95
2006-01-01,domestic private excluding out-of-pocket,Lower middle income,4.108
2007-01-01,domestic private excluding out-of-pocket,Lower middle income,4.596
2008-01-01,domestic private excluding out-of-pocket,Lower middle income,4.705
2009-01-01,domestic private excluding out-of-pocket,Lower middle income,5.119
2010-01-01,domestic private excluding out-of-pocket,Lower middle income,5.732
2011-01-01,domestic private excluding out-of-pocket,Lower middle income,6.544
2012-01-01,domestic private excluding out-of-pocket,Lower middle income,6.613
2013-01-01,domestic private excluding out-of-pocket,Lower middle income,6.855
2014-01-01,domestic private excluding out-of-pocket,Lower middle income,7.38
2015-01-01,domestic private excluding out-of-pocket,Lower middle income,7.458
2016-01-01,domestic private excluding out-of-pocket,Lower middle income,8.35
2017-01-01,domestic private excluding out-of-pocket,Lower middle income,8.855
2018-01-01,domestic private excluding out-of-pocket,Lower middle income,9.127
2019-01-01,domestic private excluding out-of-pocket,Lower middle income,9.319
2020-01-01,domestic private excluding out-of-pocket,Lower middle income,9.24
2021-01-01,domestic private excluding out-of-pocket,Lower middle income,10.271
2000-01-01,domestic private excluding out-of-pocket,Lower middle income,7852.78
2001-01-01,domestic private excluding out-of-pocket,Lower middle income,9135.438
2002-01-01,domestic private excluding out-of-pocket,Lower middle income,8935.736
2003-01-01,domestic private excluding out-of-pocket,Lower middle income,9881.784
2004-01-01,domestic private excluding out-of-pocket,Lower middle income,10735.214
2005-01-01,domestic private excluding out-of-pocket,Lower middle income,10540.355
2006-01-01,domestic private excluding out-of-pocket,Lower middle income,11141.887
2007-01-01,domestic private excluding out-of-pocket,Lower middle income,12665.041
2008-01-01,domestic private excluding out-of-pocket,Lower middle income,13170.93
2009-01-01,domestic private excluding out-of-pocket,Lower middle income,14554.438
2010-01-01,domestic private excluding out-of-pocket,Lower middle income,16554.636
2011-01-01,domestic private excluding out-of-pocket,Lower middle income,19199.407
2012-01-01,domestic private excluding out-of-pocket,Lower middle income,19704.551
2013-01-01,domestic private excluding out-of-pocket,Lower middle income,20739.41
2014-01-01,domestic private excluding out-of-pocket,Lower middle income,22664.209
2015-01-01,domestic private excluding out-of-pocket,Lower middle income,23239.864
2016-01-01,domestic private excluding out-of-pocket,Lower middle income,26394.688
2017-01-01,domestic private excluding out-of-pocket,Lower middle income,28385.719
2018-01-01,domestic private excluding out-of-pocket,Lower middle income,29660.857
2019-01-01,domestic private excluding out-of-pocket,Lower middle income,30686.145
2020-01-01,domestic private excluding out-of-pocket,Lower middle income,30819.38
2021-01-01,domestic private excluding out-of-pocket,Lower middle income,34670.173
2000-01-01,domestic private excluding out-of-pocket,Lower middle income,0.261
2001-01-01,domestic private excluding out-of-pocket,Lower middle income,0.291
2002-01-01,domestic private excluding out-of-pocket,Lower middle income,0.271
2003-01-01,domestic private excluding out-of-pocket,Lower middle income,0.282
2004-01-01,domestic private excluding out-of-pocket,Lower middle income,0.287
2005-01-01,domestic private excluding out-of-pocket,Lower middle income,0.264
2006-01-01,domestic private excluding out-of-pocket,Lower middle income,0.261
2007-01-01,domestic private excluding out-of-pocket,Lower middle income,0.276
2008-01-01,domestic private excluding out-of-pocket,Lower middle income,0.274
2009-01-01,domestic private excluding out-of-pocket,Lower middle income,0.29
2010-01-01,domestic private excluding out-of-pocket,Lower middle income,0.308
2011-01-01,domestic private excluding out-of-pocket,Lower middle income,0.339
2012-01-01,domestic private excluding out-of-pocket,Lower middle income,0.332
2013-01-01,domestic private excluding out-of-pocket,Lower middle income,0.333
2014-01-01,domestic private excluding out-of-pocket,Lower middle income,0.345
2015-01-01,domestic private excluding out-of-pocket,Lower middle income,0.336
2016-01-01,domestic private excluding out-of-pocket,Lower middle income,0.361
2017-01-01,domestic private excluding out-of-pocket,Lower middle income,0.369
2018-01-01,domestic private excluding out-of-pocket,Lower middle income,0.367
2019-01-01,domestic private excluding out-of-pocket,Lower middle income,0.365
2020-01-01,domestic private excluding out-of-pocket,Lower middle income,0.378
2021-01-01,domestic private excluding out-of-pocket,Lower middle income,0.401
2000-01-01,domestic private excluding out-of-pocket,Lower middle income,6.69
2001-01-01,domestic private excluding out-of-pocket,Lower middle income,6.98
2002-01-01,domestic private excluding out-of-pocket,Lower middle income,6.73
2003-01-01,domestic private excluding out-of-pocket,Lower middle income,6.73
2004-01-01,domestic private excluding out-of-pocket,Lower middle income,6.95
2005-01-01,domestic private excluding out-of-pocket,Lower middle income,6.34
2006-01-01,domestic private excluding out-of-pocket,Lower middle income,6.28
2007-01-01,domestic private excluding out-of-pocket,Lower middle income,6.73
2008-01-01,domestic private excluding out-of-pocket,Lower middle income,6.79
2009-01-01,domestic private excluding out-of-pocket,Lower middle income,6.93
2010-01-01,domestic private excluding out-of-pocket,Lower middle income,7.43
2011-01-01,domestic private excluding out-of-pocket,Lower middle income,8.09
2012-01-01,domestic private excluding out-of-pocket,Lower middle income,7.88
2013-01-01,domestic private excluding out-of-pocket,Lower middle income,7.71
2014-01-01,domestic private excluding out-of-pocket,Lower middle income,8.0
2015-01-01,domestic private excluding out-of-pocket,Lower middle income,7.69
2016-01-01,domestic private excluding out-of-pocket,Lower middle income,8.23
2017-01-01,domestic private excluding out-of-pocket,Lower middle income,8.86
2018-01-01,domestic private excluding out-of-pocket,Lower middle income,9.06
2019-01-01,domestic private excluding out-of-pocket,Lower middle income,9.09
2020-01-01,domestic private excluding out-of-pocket,Lower middle income,8.79
2021-01-01,domestic private excluding out-of-pocket,Lower middle income,8.99
2000-01-01,domestic private excluding out-of-pocket,Upper middle income,32.537
2001-01-01,domestic private excluding out-of-pocket,Upper middle income,29.88
2002-01-01,domestic private excluding out-of-pocket,Upper middle income,29.997
2003-01-01,domestic private excluding out-of-pocket,Upper middle income,29.166
2004-01-01,domestic private excluding out-of-pocket,Upper middle income,29.909
2005-01-01,domestic private excluding out-of-pocket,Upper middle income,29.685
2006-01-01,domestic private excluding out-of-pocket,Upper middle income,30.837
2007-01-01,domestic private excluding out-of-pocket,Upper middle income,33.928
2008-01-01,domestic private excluding out-of-pocket,Upper middle income,35.412
2009-01-01,domestic private excluding out-of-pocket,Upper middle income,35.59
2010-01-01,domestic private excluding out-of-pocket,Upper middle income,37.494
2011-01-01,domestic private excluding out-of-pocket,Upper middle income,37.147
2012-01-01,domestic private excluding out-of-pocket,Upper middle income,37.471
2013-01-01,domestic private excluding out-of-pocket,Upper middle income,39.174
2014-01-01,domestic private excluding out-of-pocket,Upper middle income,41.433
2015-01-01,domestic private excluding out-of-pocket,Upper middle income,45.856
2016-01-01,domestic private excluding out-of-pocket,Upper middle income,50.461
2017-01-01,domestic private excluding out-of-pocket,Upper middle income,58.615
2018-01-01,domestic private excluding out-of-pocket,Upper middle income,63.42
2019-01-01,domestic private excluding out-of-pocket,Upper middle income,69.909
2020-01-01,domestic private excluding out-of-pocket,Upper middle income,76.534
2021-01-01,domestic private excluding out-of-pocket,Upper middle income,82.976
2000-01-01,domestic private excluding out-of-pocket,Upper middle income,69131.106
2001-01-01,domestic private excluding out-of-pocket,Upper middle income,63991.973
2002-01-01,domestic private excluding out-of-pocket,Upper middle income,64731.252
2003-01-01,domestic private excluding out-of-pocket,Upper middle income,64189.979
2004-01-01,domestic private excluding out-of-pocket,Upper middle income,66324.84
2005-01-01,domestic private excluding out-of-pocket,Upper middle income,66328.348
2006-01-01,domestic private excluding out-of-pocket,Upper middle income,69412.857
2007-01-01,domestic private excluding out-of-pocket,Upper middle income,76929.58
2008-01-01,domestic private excluding out-of-pocket,Upper middle income,80910.528
2009-01-01,domestic private excluding out-of-pocket,Upper middle income,81970.745
2010-01-01,domestic private excluding out-of-pocket,Upper middle income,87051.124
2011-01-01,domestic private excluding out-of-pocket,Upper middle income,86951.825
2012-01-01,domestic private excluding out-of-pocket,Upper middle income,88220.83
2013-01-01,domestic private excluding out-of-pocket,Upper middle income,93037.54
2014-01-01,domestic private excluding out-of-pocket,Upper middle income,99255.003
2015-01-01,domestic private excluding out-of-pocket,Upper middle income,110762.181
2016-01-01,domestic private excluding out-of-pocket,Upper middle income,122813.93
2017-01-01,domestic private excluding out-of-pocket,Upper middle income,143701.585
2018-01-01,domestic private excluding out-of-pocket,Upper middle income,156513.312
2019-01-01,domestic private excluding out-of-pocket,Upper middle income,173500.123
2020-01-01,domestic private excluding out-of-pocket,Upper middle income,190783.253
2021-01-01,domestic private excluding out-of-pocket,Upper middle income,207452.729
2000-01-01,domestic private excluding out-of-pocket,Upper middle income,0.84
2001-01-01,domestic private excluding out-of-pocket,Upper middle income,0.747
2002-01-01,domestic private excluding out-of-pocket,Upper middle income,0.719
2003-01-01,domestic private excluding out-of-pocket,Upper middle income,0.664
2004-01-01,domestic private excluding out-of-pocket,Upper middle income,0.634
2005-01-01,domestic private excluding out-of-pocket,Upper middle income,0.588
2006-01-01,domestic private excluding out-of-pocket,Upper middle income,0.565
2007-01-01,domestic private excluding out-of-pocket,Upper middle income,0.57
2008-01-01,domestic private excluding out-of-pocket,Upper middle income,0.562
2009-01-01,domestic private excluding out-of-pocket,Upper middle income,0.554
2010-01-01,domestic private excluding out-of-pocket,Upper middle income,0.542
2011-01-01,domestic private excluding out-of-pocket,Upper middle income,0.506
2012-01-01,domestic private excluding out-of-pocket,Upper middle income,0.486
2013-01-01,domestic private excluding out-of-pocket,Upper middle income,0.485
2014-01-01,domestic private excluding out-of-pocket,Upper middle income,0.493
2015-01-01,domestic private excluding out-of-pocket,Upper middle income,0.527
2016-01-01,domestic private excluding out-of-pocket,Upper middle income,0.56
2017-01-01,domestic private excluding out-of-pocket,Upper middle income,0.623
2018-01-01,domestic private excluding out-of-pocket,Upper middle income,0.646
2019-01-01,domestic private excluding out-of-pocket,Upper middle income,0.687
2020-01-01,domestic private excluding out-of-pocket,Upper middle income,0.758
2021-01-01,domestic private excluding out-of-pocket,Upper middle income,0.765
2000-01-01,domestic private excluding out-of-pocket,Upper middle income,13.8
2001-01-01,domestic private excluding out-of-pocket,Upper middle income,12.47
2002-01-01,domestic private excluding out-of-pocket,Upper middle income,11.9
2003-01-01,domestic private excluding out-of-pocket,Upper middle income,11.2
2004-01-01,domestic private excluding out-of-pocket,Upper middle income,10.94
2005-01-01,domestic private excluding out-of-pocket,Upper middle income,10.41
2006-01-01,domestic private excluding out-of-pocket,Upper middle income,10.27
2007-01-01,domestic private excluding out-of-pocket,Upper middle income,10.64
2008-01-01,domestic private excluding out-of-pocket,Upper middle income,10.29
2009-01-01,domestic private excluding out-of-pocket,Upper middle income,9.43
2010-01-01,domestic private excluding out-of-pocket,Upper middle income,9.66
2011-01-01,domestic private excluding out-of-pocket,Upper middle income,9.09
2012-01-01,domestic private excluding out-of-pocket,Upper middle income,8.56
2013-01-01,domestic private excluding out-of-pocket,Upper middle income,8.39
2014-01-01,domestic private excluding out-of-pocket,Upper middle income,8.45
2015-01-01,domestic private excluding out-of-pocket,Upper middle income,8.75
2016-01-01,domestic private excluding out-of-pocket,Upper middle income,9.22
2017-01-01,domestic private excluding out-of-pocket,Upper middle income,10.08
2018-01-01,domestic private excluding out-of-pocket,Upper middle income,10.34
2019-01-01,domestic private excluding out-of-pocket,Upper middle income,10.68
2020-01-01,domestic private excluding out-of-pocket,Upper middle income,10.93
2021-01-01,domestic private excluding out-of-pocket,Upper middle income,11.31
2000-01-01,domestic private excluding out-of-pocket,Africa,14.891
2001-01-01,domestic private excluding out-of-pocket,Africa,15.529
2002-01-01,domestic private excluding out-of-pocket,Africa,14.84
2003-01-01,domestic private excluding out-of-pocket,Africa,13.541
2004-01-01,domestic private excluding out-of-pocket,Africa,13.786
2005-01-01,domestic private excluding out-of-pocket,Africa,12.255
2006-01-01,domestic private excluding out-of-pocket,Africa,11.942
2007-01-01,domestic private excluding out-of-pocket,Africa,12.252
2008-01-01,domestic private excluding out-of-pocket,Africa,12.842
2009-01-01,domestic private excluding out-of-pocket,Africa,13.007
2010-01-01,domestic private excluding out-of-pocket,Africa,13.086
2011-01-01,domestic private excluding out-of-pocket,Africa,13.402
2012-01-01,domestic private excluding out-of-pocket,Africa,14.453
2013-01-01,domestic private excluding out-of-pocket,Africa,15.233
2014-01-01,domestic private excluding out-of-pocket,Africa,16.733
2015-01-01,domestic private excluding out-of-pocket,Africa,16.259
2016-01-01,domestic private excluding out-of-pocket,Africa,16.031
2017-01-01,domestic private excluding out-of-pocket,Africa,15.662
2018-01-01,domestic private excluding out-of-pocket,Africa,14.793
2019-01-01,domestic private excluding out-of-pocket,Africa,14.677
2020-01-01,domestic private excluding out-of-pocket,Africa,13.052
2021-01-01,domestic private excluding out-of-pocket,Africa,13.511
2000-01-01,domestic private excluding out-of-pocket,Africa,11700.917
2001-01-01,domestic private excluding out-of-pocket,Africa,12506.885
2002-01-01,domestic private excluding out-of-pocket,Africa,12252.764
2003-01-01,domestic private excluding out-of-pocket,Africa,11462.255
2004-01-01,domestic private excluding out-of-pocket,Africa,11965.393
2005-01-01,domestic private excluding out-of-pocket,Africa,10908.014
2006-01-01,domestic private excluding out-of-pocket,Africa,10901.83
2007-01-01,domestic private excluding out-of-pocket,Africa,11474.066
2008-01-01,domestic private excluding out-of-pocket,Africa,12339.879
2009-01-01,domestic private excluding out-of-pocket,Africa,12826.276
2010-01-01,domestic private excluding out-of-pocket,Africa,13242.685
2011-01-01,domestic private excluding out-of-pocket,Africa,13915.053
2012-01-01,domestic private excluding out-of-pocket,Africa,15310.956
2013-01-01,domestic private excluding out-of-pocket,Africa,16563.575
2014-01-01,domestic private excluding out-of-pocket,Africa,18680.152
2015-01-01,domestic private excluding out-of-pocket,Africa,18636.075
2016-01-01,domestic private excluding out-of-pocket,Africa,18856.727
2017-01-01,domestic private excluding out-of-pocket,Africa,19067.338
2018-01-01,domestic private excluding out-of-pocket,Africa,18465.253
2019-01-01,domestic private excluding out-of-pocket,Africa,18779.764
2020-01-01,domestic private excluding out-of-pocket,Africa,17116.19
2021-01-01,domestic private excluding out-of-pocket,Africa,18148.615
2000-01-01,domestic private excluding out-of-pocket,Africa,0.98
2001-01-01,domestic private excluding out-of-pocket,Africa,1.005
2002-01-01,domestic private excluding out-of-pocket,Africa,0.939
2003-01-01,domestic private excluding out-of-pocket,Africa,0.834
2004-01-01,domestic private excluding out-of-pocket,Africa,0.823
2005-01-01,domestic private excluding out-of-pocket,Africa,0.709
2006-01-01,domestic private excluding out-of-pocket,Africa,0.67
2007-01-01,domestic private excluding out-of-pocket,Africa,0.665
2008-01-01,domestic private excluding out-of-pocket,Africa,0.68
2009-01-01,domestic private excluding out-of-pocket,Africa,0.687
2010-01-01,domestic private excluding out-of-pocket,Africa,0.671
2011-01-01,domestic private excluding out-of-pocket,Africa,0.689
2012-01-01,domestic private excluding out-of-pocket,Africa,0.74
2013-01-01,domestic private excluding out-of-pocket,Africa,0.768
2014-01-01,domestic private excluding out-of-pocket,Africa,0.831
2015-01-01,domestic private excluding out-of-pocket,Africa,0.802
2016-01-01,domestic private excluding out-of-pocket,Africa,0.797
2017-01-01,domestic private excluding out-of-pocket,Africa,0.781
2018-01-01,domestic private excluding out-of-pocket,Africa,0.733
2019-01-01,domestic private excluding out-of-pocket,Africa,0.723
2020-01-01,domestic private excluding out-of-pocket,Africa,0.67
2021-01-01,domestic private excluding out-of-pocket,Africa,0.68
2000-01-01,domestic private excluding out-of-pocket,Africa,17.42
2001-01-01,domestic private excluding out-of-pocket,Africa,17.24
2002-01-01,domestic private excluding out-of-pocket,Africa,16.71
2003-01-01,domestic private excluding out-of-pocket,Africa,14.17
2004-01-01,domestic private excluding out-of-pocket,Africa,14.27
2005-01-01,domestic private excluding out-of-pocket,Africa,12.78
2006-01-01,domestic private excluding out-of-pocket,Africa,12.06
2007-01-01,domestic private excluding out-of-pocket,Africa,12.07
2008-01-01,domestic private excluding out-of-pocket,Africa,12.32
2009-01-01,domestic private excluding out-of-pocket,Africa,11.85
2010-01-01,domestic private excluding out-of-pocket,Africa,11.92
2011-01-01,domestic private excluding out-of-pocket,Africa,12.03
2012-01-01,domestic private excluding out-of-pocket,Africa,12.72
2013-01-01,domestic private excluding out-of-pocket,Africa,12.95
2014-01-01,domestic private excluding out-of-pocket,Africa,14.03
2015-01-01,domestic private excluding out-of-pocket,Africa,13.32
2016-01-01,domestic private excluding out-of-pocket,Africa,13.27
2017-01-01,domestic private excluding out-of-pocket,Africa,13.05
2018-01-01,domestic private excluding out-of-pocket,Africa,12.96
2019-01-01,domestic private excluding out-of-pocket,Africa,12.86
2020-01-01,domestic private excluding out-of-pocket,Africa,11.72
2021-01-01,domestic private excluding out-of-pocket,Africa,11.72
2000-01-01,domestic private excluding out-of-pocket,Algeria,2.246
2001-01-01,domestic private excluding out-of-pocket,Algeria,2.359
2002-01-01,domestic private excluding out-of-pocket,Algeria,2.498
2003-01-01,domestic private excluding out-of-pocket,Algeria,2.497
2004-01-01,domestic private excluding out-of-pocket,Algeria,3.005
2005-01-01,domestic private excluding out-of-pocket,Algeria,2.901
